office,district,party,county,candidate,precinct,votes,winner
U.S. Senate,,D,Hot Springs,Dale Groutage,VFW Hall 1-1,62,
U.S. Senate,,D,Hot Springs,Dale Groutage,VFW Hall 1-2,53,
U.S. Senate,,D,Hot Springs,Dale Groutage,Hot Springs County Museum 2-4,5,
U.S. Senate,,D,Hot Springs,Dale Groutage,National Guard Armory 3-3,46,
U.S. Senate,,D,Hot Springs,Dale Groutage,,166,TRUE
U.S. House,1,D,Hot Springs,Gary Trauner,VFW Hall 1-1,67,
U.S. House,1,D,Hot Springs,Gary Trauner,VFW Hall 1-2,54,
U.S. House,1,D,Hot Springs,Gary Trauner,Hot Springs County Museum 2-4,4,
U.S. House,1,D,Hot Springs,Gary Trauner,National Guard Armory 3-3,46,
U.S. House,1,D,Hot Springs,Gary Trauner,,171,TRUE
Governor,,D,Hot Springs,Dave Freudenthal,VFW Hall 1-1,69,
Governor,,D,Hot Springs,Dave Freudenthal,VFW Hall 1-2,63,
Governor,,D,Hot Springs,Dave Freudenthal,Hot Springs County Museum 2-4,5,
Governor,,D,Hot Springs,Dave Freudenthal,National Guard Armory 3-3,57,
Governor,,D,Hot Springs,Dave Freudenthal,,194,TRUE
Governor,,D,Hot Springs,Al Hamburg,VFW Hall 1-1,7,
Governor,,D,Hot Springs,Al Hamburg,VFW Hall 1-2,3,
Governor,,D,Hot Springs,Al Hamburg,Hot Springs County Museum 2-4,0,
Governor,,D,Hot Springs,Al Hamburg,National Guard Armory 3-3,4,
Governor,,D,Hot Springs,Al Hamburg,,14,
State Auditor,,D,Hot Springs,Bill Eikenberry,VFW Hall 1-1,63,
State Auditor,,D,Hot Springs,Bill Eikenberry,VFW Hall 1-2,53,
State Auditor,,D,Hot Springs,Bill Eikenberry,Hot Springs County Museum 2-4,5,
State Auditor,,D,Hot Springs,Bill Eikenberry,National Guard Armory 3-3,48,
State Auditor,,D,Hot Springs,Bill Eikenberry,,169,TRUE
State Treasurer,,D,Hot Springs,Ron Redo,VFW Hall 1-1,60,
State Treasurer,,D,Hot Springs,Ron Redo,VFW Hall 1-2,54,
State Treasurer,,D,Hot Springs,Ron Redo,Hot Springs County Museum 2-4,5,
State Treasurer,,D,Hot Springs,Ron Redo,National Guard Armory 3-3,42,
State Treasurer,,D,Hot Springs,Ron Redo,,161,TRUE
Superintendent of Public Instruction,,D,Hot Springs,Michelle L. Hoffman,VFW Hall 1-1,64,
Superintendent of Public Instruction,,D,Hot Springs,Michelle L. Hoffman,VFW Hall 1-2,54,
Superintendent of Public Instruction,,D,Hot Springs,Michelle L. Hoffman,Hot Springs County Museum 2-4,5,
Superintendent of Public Instruction,,D,Hot Springs,Michelle L. Hoffman,National Guard Armory 3-3,47,
Superintendent of Public Instruction,,D,Hot Springs,Michelle L. Hoffman,,170,TRUE
