office,district,party,county,candidate,precinct,votes,winner
U.S. Senate,,D,Converse,Dale Groutage,Lost Springs 1-1,6,
U.S. Senate,,D,Converse,Dale Groutage,Guthrie 3-1,7,
U.S. Senate,,D,Converse,Dale Groutage,Rural Douglas 4-4,27,
U.S. Senate,,D,Converse,Dale Groutage,Boxelder 6-6,21,
U.S. Senate,,D,Converse,Dale Groutage,La Prele 7-7,5,
U.S. Senate,,D,Converse,Dale Groutage,East Antelope 8-8,12,
U.S. Senate,,D,Converse,Dale Groutage,East Glenrock 9-1,55,
U.S. Senate,,D,Converse,Dale Groutage,Rural Glenrock 10-10,27,
U.S. Senate,,D,Converse,Dale Groutage,Rolling Hills 11-11,20,
U.S. Senate,,D,Converse,Dale Groutage,Orin 2-2,23,
U.S. Senate,,D,Converse,Dale Groutage,Orpha 20-20,5,
U.S. Senate,,D,Converse,Dale Groutage,Northeast Douglas 23-1,32,
U.S. Senate,,D,Converse,Dale Groutage,Northwest Douglas 23-2,36,
U.S. Senate,,D,Converse,Dale Groutage,Southwest Douglas 23-3,29,
U.S. Senate,,D,Converse,Dale Groutage,South Douglas 23-5,41,
U.S. Senate,,D,Converse,Dale Groutage,Fairview 23-6,36,
U.S. Senate,,D,Converse,Dale Groutage,West Glenrock 9-2,61,
U.S. Senate,,D,Converse,Dale Groutage,Dry Creek 13-13,2,
U.S. Senate,,D,Converse,Dale Groutage,Converse County Courthouse 23-4,26,
U.S. Senate,,D,Converse,Dale Groutage,,471,TRUE
U.S. House,,D,Converse,Gary Trauner,Lost Springs 1-1,7,
U.S. House,,D,Converse,Gary Trauner,Guthrie 3-1,6,
U.S. House,,D,Converse,Gary Trauner,Rural Douglas 4-4,25,
U.S. House,,D,Converse,Gary Trauner,Boxelder 6-6,23,
U.S. House,,D,Converse,Gary Trauner,La Prele 7-7,6,
U.S. House,,D,Converse,Gary Trauner,East Antelope 8-8,12,
U.S. House,,D,Converse,Gary Trauner,East Glenrock 9-1,57,
U.S. House,,D,Converse,Gary Trauner,Rural Glenrock 10-10,27,
U.S. House,,D,Converse,Gary Trauner,Rolling Hills 11-11,21,
U.S. House,,D,Converse,Gary Trauner,Orin 2-2,27,
U.S. House,,D,Converse,Gary Trauner,Orpha 20-20,5,
U.S. House,,D,Converse,Gary Trauner,Northeast Douglas 23-1,30,
U.S. House,,D,Converse,Gary Trauner,Northwest Douglas 23-2,37,
U.S. House,,D,Converse,Gary Trauner,Southwest Douglas 23-3,28,
U.S. House,,D,Converse,Gary Trauner,South Douglas 23-5,42,
U.S. House,,D,Converse,Gary Trauner,Fairview 23-6,37,
U.S. House,,D,Converse,Gary Trauner,West Glenrock 9-2,62,
U.S. House,,D,Converse,Gary Trauner,Dry Creek 13-13,2,
U.S. House,,D,Converse,Gary Trauner,Converse County Courthouse 23-4,27,
U.S. House,,D,Converse,Gary Trauner,,481,TRUE
Governor,,D,Converse,Dave Freudenthal,Lost Springs 1-1,4,
Governor,,D,Converse,Dave Freudenthal,Guthrie 3-1,8,
Governor,,D,Converse,Dave Freudenthal,Rural Douglas 4-4,25,
Governor,,D,Converse,Dave Freudenthal,Boxelder 6-6,25,
Governor,,D,Converse,Dave Freudenthal,La Prele 7-7,8,
Governor,,D,Converse,Dave Freudenthal,East Antelope 8-8,13,
Governor,,D,Converse,Dave Freudenthal,East Glenrock 9-1,57,
Governor,,D,Converse,Dave Freudenthal,Rural Glenrock 10-10,23,
Governor,,D,Converse,Dave Freudenthal,Rolling Hills 11-11,26,
Governor,,D,Converse,Dave Freudenthal,Orin 2-2,22,
Governor,,D,Converse,Dave Freudenthal,Orpha 20-20,3,
Governor,,D,Converse,Dave Freudenthal,Northeast Douglas 23-1,28,
Governor,,D,Converse,Dave Freudenthal,Northwest Douglas 23-2,38,
Governor,,D,Converse,Dave Freudenthal,Southwest Douglas 23-3,31,
Governor,,D,Converse,Dave Freudenthal,South Douglas 23-5,40,
Governor,,D,Converse,Dave Freudenthal,Fairview 23-6,38,
Governor,,D,Converse,Dave Freudenthal,West Glenrock 9-2,60,
Governor,,D,Converse,Dave Freudenthal,Dry Creek 13-13,2,
Governor,,D,Converse,Dave Freudenthal,Converse County Courthouse 23-4,27,
Governor,,D,Converse,Dave Freudenthal,,478,TRUE
Governor,,D,Converse,Al Hamburg,Lost Springs 1-1,2,
Governor,,D,Converse,Al Hamburg,Guthrie 3-1,1,
Governor,,D,Converse,Al Hamburg,Rural Douglas 4-4,4,
Governor,,D,Converse,Al Hamburg,Boxelder 6-6,3,
Governor,,D,Converse,Al Hamburg,La Prele 7-7,0,
Governor,,D,Converse,Al Hamburg,East Antelope 8-8,1,
Governor,,D,Converse,Al Hamburg,East Glenrock 9-1,6,
Governor,,D,Converse,Al Hamburg,Rural Glenrock 10-10,5,
Governor,,D,Converse,Al Hamburg,Rolling Hills 11-11,2,
Governor,,D,Converse,Al Hamburg,Orin 2-2,7,
Governor,,D,Converse,Al Hamburg,Orpha 20-20,2,
Governor,,D,Converse,Al Hamburg,Northeast Douglas 23-1,7,
Governor,,D,Converse,Al Hamburg,Northwest Douglas 23-2,4,
Governor,,D,Converse,Al Hamburg,Southwest Douglas 23-3,4,
Governor,,D,Converse,Al Hamburg,South Douglas 23-5,7,
Governor,,D,Converse,Al Hamburg,Fairview 23-6,2,
Governor,,D,Converse,Al Hamburg,West Glenrock 9-2,8,
Governor,,D,Converse,Al Hamburg,Dry Creek 13-13,0,
Governor,,D,Converse,Al Hamburg,Converse County Courthouse 23-4,1,
Governor,,D,Converse,Al Hamburg,,66,
State Auditor,,D,Converse,Bill Eikenberry,Lost Springs 1-1,6,
State Auditor,,D,Converse,Bill Eikenberry,Guthrie 3-1,8,
State Auditor,,D,Converse,Bill Eikenberry,Rural Douglas 4-4,26,
State Auditor,,D,Converse,Bill Eikenberry,Boxelder 6-6,20,
State Auditor,,D,Converse,Bill Eikenberry,La Prele 7-7,5,
State Auditor,,D,Converse,Bill Eikenberry,East Antelope 8-8,12,
State Auditor,,D,Converse,Bill Eikenberry,East Glenrock 9-1,57,
State Auditor,,D,Converse,Bill Eikenberry,Rural Glenrock 10-10,27,
State Auditor,,D,Converse,Bill Eikenberry,Rolling Hills 11-11,20,
State Auditor,,D,Converse,Bill Eikenberry,Orin 2-2,24,
State Auditor,,D,Converse,Bill Eikenberry,Orpha 20-20,5,
State Auditor,,D,Converse,Bill Eikenberry,Northeast Douglas 23-1,31,
State Auditor,,D,Converse,Bill Eikenberry,Northwest Douglas 23-2,37,
State Auditor,,D,Converse,Bill Eikenberry,Southwest Douglas 23-3,29,
State Auditor,,D,Converse,Bill Eikenberry,South Douglas 23-5,40,
State Auditor,,D,Converse,Bill Eikenberry,Fairview 23-6,36,
State Auditor,,D,Converse,Bill Eikenberry,West Glenrock 9-2,62,
State Auditor,,D,Converse,Bill Eikenberry,Dry Creek 13-13,2,
State Auditor,,D,Converse,Bill Eikenberry,Converse County Courthouse 23-4,22,
State Auditor,,D,Converse,Bill Eikenberry,,469,TRUE
State Treasurer,,D,Converse,Ron Redo,Lost Springs 1-1,6,
State Treasurer,,D,Converse,Ron Redo,Guthrie 3-1,8,
State Treasurer,,D,Converse,Ron Redo,Rural Douglas 4-4,25,
State Treasurer,,D,Converse,Ron Redo,Boxelder 6-6,20,
State Treasurer,,D,Converse,Ron Redo,La Prele 7-7,5,
State Treasurer,,D,Converse,Ron Redo,East Antelope 8-8,12,
State Treasurer,,D,Converse,Ron Redo,East Glenrock 9-1,53,
State Treasurer,,D,Converse,Ron Redo,Rural Glenrock 10-10,24,
State Treasurer,,D,Converse,Ron Redo,Rolling Hills 11-11,18,
State Treasurer,,D,Converse,Ron Redo,Orin 2-2,24,
State Treasurer,,D,Converse,Ron Redo,Orpha 20-20,5,
State Treasurer,,D,Converse,Ron Redo,Northeast Douglas 23-1,28,
State Treasurer,,D,Converse,Ron Redo,Northwest Douglas 23-2,37,
State Treasurer,,D,Converse,Ron Redo,Southwest Douglas 23-3,27,
State Treasurer,,D,Converse,Ron Redo,South Douglas 23-5,39,
State Treasurer,,D,Converse,Ron Redo,Fairview 23-6,34,
State Treasurer,,D,Converse,Ron Redo,West Glenrock 9-2,59,
State Treasurer,,D,Converse,Ron Redo,Dry Creek 13-13,2,
State Treasurer,,D,Converse,Ron Redo,Converse County Courthouse 23-4,22,
State Treasurer,,D,Converse,Ron Redo,,448,TRUE
Superintendent of Public Instruction,,D,Converse,Michelle L. Hoffman,Lost Springs 1-1,7,
Superintendent of Public Instruction,,D,Converse,Michelle L. Hoffman,Guthrie 3-1,8,
Superintendent of Public Instruction,,D,Converse,Michelle L. Hoffman,Rural Douglas 4-4,27,
Superintendent of Public Instruction,,D,Converse,Michelle L. Hoffman,Boxelder 6-6,22,
Superintendent of Public Instruction,,D,Converse,Michelle L. Hoffman,La Prele 7-7,6,
Superintendent of Public Instruction,,D,Converse,Michelle L. Hoffman,East Antelope 8-8,12,
Superintendent of Public Instruction,,D,Converse,Michelle L. Hoffman,East Glenrock 9-1,57,
