office,district,party,county,candidate,precinct,votes,winner
U.S. Senate,,D,Sublette,Dale Groutage,Pinedale 1-1,32,
U.S. Senate,,D,Sublette,Dale Groutage,Pinedale West 1-3,19,
U.S. Senate,,D,Sublette,Dale Groutage,Boulder 1-4,18,
U.S. Senate,,D,Sublette,Dale Groutage,Big Piney 2-1,20,
U.S. Senate,,D,Sublette,Dale Groutage,Marbleton 2-2,20,
U.S. Senate,,D,Sublette,Dale Groutage,Marbleton North 2-4,1,
U.S. Senate,,D,Sublette,Dale Groutage,Cora 4-1,13,
U.S. Senate,,D,Sublette,Dale Groutage,Daniel 4-2,9,
U.S. Senate,,D,Sublette,Dale Groutage,Bondurant 5-1,6,
U.S. Senate,,D,Sublette,Dale Groutage,,138,TRUE
U.S. House,1,D,Sublette,Gary Trauner,Pinedale 1-1,34,
U.S. House,1,D,Sublette,Gary Trauner,Pinedale West 1-3,19,
U.S. House,1,D,Sublette,Gary Trauner,Boulder 1-4,18,
U.S. House,1,D,Sublette,Gary Trauner,Big Piney 2-1,18,
U.S. House,1,D,Sublette,Gary Trauner,Marbleton 2-2,19,
U.S. House,1,D,Sublette,Gary Trauner,Marbleton North 2-4,1,
U.S. House,1,D,Sublette,Gary Trauner,Cora 4-1,18,
U.S. House,1,D,Sublette,Gary Trauner,Daniel 4-2,9,
U.S. House,1,D,Sublette,Gary Trauner,Bondurant 5-1,6,
U.S. House,1,D,Sublette,Gary Trauner,,142,TRUE
Governor,,D,Sublette,Dave Freudenthal,Pinedale 1-1,36,
Governor,,D,Sublette,Dave Freudenthal,Pinedale West 1-3,23,
Governor,,D,Sublette,Dave Freudenthal,Boulder 1-4,14,
Governor,,D,Sublette,Dave Freudenthal,Big Piney 2-1,21,
Governor,,D,Sublette,Dave Freudenthal,Marbleton 2-2,18,
Governor,,D,Sublette,Dave Freudenthal,Marbleton North 2-4,0,
Governor,,D,Sublette,Dave Freudenthal,Cora 4-1,17,
Governor,,D,Sublette,Dave Freudenthal,Daniel 4-2,11,
Governor,,D,Sublette,Dave Freudenthal,Bondurant 5-1,7,
Governor,,D,Sublette,Dave Freudenthal,,147,TRUE
Governor,,D,Sublette,Al Hamburg,Pinedale 1-1,3,
Governor,,D,Sublette,Al Hamburg,Pinedale West 1-3,3,
Governor,,D,Sublette,Al Hamburg,Boulder 1-4,3,
Governor,,D,Sublette,Al Hamburg,Big Piney 2-1,1,
Governor,,D,Sublette,Al Hamburg,Marbleton 2-2,2,
Governor,,D,Sublette,Al Hamburg,Marbleton North 2-4,2,
Governor,,D,Sublette,Al Hamburg,Cora 4-1,1,
Governor,,D,Sublette,Al Hamburg,Daniel 4-2,0,
Governor,,D,Sublette,Al Hamburg,Bondurant 5-1,1,
Governor,,D,Sublette,Al Hamburg,,16,
State Auditor,,D,Sublette,Bill Eikenberry,Pinedale 1-1,28,
State Auditor,,D,Sublette,Bill Eikenberry,Pinedale West 1-3,18,
State Auditor,,D,Sublette,Bill Eikenberry,Boulder 1-4,16,
State Auditor,,D,Sublette,Bill Eikenberry,Big Piney 2-1,18,
State Auditor,,D,Sublette,Bill Eikenberry,Marbleton 2-2,20,
State Auditor,,D,Sublette,Bill Eikenberry,Marbleton North 2-4,1,
State Auditor,,D,Sublette,Bill Eikenberry,Cora 4-1,11,
State Auditor,,D,Sublette,Bill Eikenberry,Daniel 4-2,9,
State Auditor,,D,Sublette,Bill Eikenberry,Bondurant 5-1,4,
State Auditor,,D,Sublette,Bill Eikenberry,,125,TRUE
State Treasurer,,D,Sublette,Ron Redo,Pinedale 1-1,28,
State Treasurer,,D,Sublette,Ron Redo,Pinedale West 1-3,17,
State Treasurer,,D,Sublette,Ron Redo,Boulder 1-4,17,
State Treasurer,,D,Sublette,Ron Redo,Big Piney 2-1,15,
State Treasurer,,D,Sublette,Ron Redo,Marbleton 2-2,18,
State Treasurer,,D,Sublette,Ron Redo,Marbleton North 2-4,1,
State Treasurer,,D,Sublette,Ron Redo,Cora 4-1,12,
State Treasurer,,D,Sublette,Ron Redo,Daniel 4-2,10,
State Treasurer,,D,Sublette,Ron Redo,Bondurant 5-1,5,
State Treasurer,,D,Sublette,Ron Redo,,123,TRUE
Superintendent of Public Instruction,,D,Sublette,Michelle L. Hoffman,Pinedale 1-1,35,
Superintendent of Public Instruction,,D,Sublette,Michelle L. Hoffman,Pinedale West 1-3,18,
Superintendent of Public Instruction,,D,Sublette,Michelle L. Hoffman,Boulder 1-4,17,
Superintendent of Public Instruction,,D,Sublette,Michelle L. Hoffman,Big Piney 2-1,18,
Superintendent of Public Instruction,,D,Sublette,Michelle L. Hoffman,Marbleton 2-2,19,
Superintendent of Public Instruction,,D,Sublette,Michelle L. Hoffman,Marbleton North 2-4,1,
Superintendent of Public Instruction,,D,Sublette,Michelle L. Hoffman,Cora 4-1,15,
Superintendent of Public Instruction,,D,Sublette,Michelle L. Hoffman,Daniel 4-2,8,
Superintendent of Public Instruction,,D,Sublette,Michelle L. Hoffman,Bondurant 5-1,5,
Superintendent of Public Instruction,,D,Sublette,Michelle L. Hoffman,,136,
