office,district,party,county,candidate,precinct,votes,winner
U.S. Senate,,D,Laramie,Dale Groutage,Holiday Inn/Cheyenne 1-1,198,
U.S. Senate,,D,Laramie,Dale Groutage,Holiday Inn/Cheyenne 1-2,127,
U.S. Senate,,D,Laramie,Dale Groutage,City Fire Headquarters #1 1-3,149,
U.S. Senate,,D,Laramie,Dale Groutage,Laramie County Library 1-4,83,
U.S. Senate,,D,Laramie,Dale Groutage,Kiwanis Community House/Cheyenne 1-5,122,
U.S. Senate,,D,Laramie,Dale Groutage,Kiwanis Community House/Cheyenne 1-6,160,
U.S. Senate,,D,Laramie,Dale Groutage,WY. Emergency Mgmt Agency 1-7,81,
U.S. Senate,,D,Laramie,Dale Groutage,Storey Gym 1-8,161,
U.S. Senate,,D,Laramie,Dale Groutage,Alta Vista Elementary School 1-9,107,
U.S. Senate,,D,Laramie,Dale Groutage,Holiday Inn/Cheyenne 1-10,134,
U.S. Senate,,D,Laramie,Dale Groutage,Westgate Club House/Cheyenne 2-1,81,
U.S. Senate,,D,Laramie,Dale Groutage,Kiwanis Community House/Cheyenne 2-2,91,
U.S. Senate,,D,Laramie,Dale Groutage,Kiwanis Community House/Cheyenne 2-3,61,
U.S. Senate,,D,Laramie,Dale Groutage,City Fire Station #6 2-4,82,
U.S. Senate,,D,Laramie,Dale Groutage,Cheyenne Berean Church 2-5,134,
U.S. Senate,,D,Laramie,Dale Groutage,Hobbs Elementary School 2-6,150,
U.S. Senate,,D,Laramie,Dale Groutage,Kiwanis Community House/Cheyenne 2-7,88,
U.S. Senate,,D,Laramie,Dale Groutage,Cheyenne Berean Church 2-8,143,
U.S. Senate,,D,Laramie,Dale Groutage,Good Shepherd Lutheran Church 2-9,89,
U.S. Senate,,D,Laramie,Dale Groutage,County Governmental Complex 2-10,18,
U.S. Senate,,D,Laramie,Dale Groutage,Cheyenne Housing Authority 2-11,129,
U.S. Senate,,D,Laramie,Dale Groutage,Northwoods Presbyterian Church 2-12,54,
U.S. Senate,,D,Laramie,Dale Groutage,County Government Complex 2-13,9,
U.S. Senate,,D,Laramie,Dale Groutage,Anderson Elementary School 2-14,122,
U.S. Senate,,D,Laramie,Dale Groutage,First Baptist Church 3-1,126,
U.S. Senate,,D,Laramie,Dale Groutage,American Legion Post #6 3-2,105,
U.S. Senate,,D,Laramie,Dale Groutage,First Congregational Church/Cheyenne 3-3,98,
U.S. Senate,,D,Laramie,Dale Groutage,Albin Community Center 6-5,24,
U.S. Senate,,D,Laramie,Dale Groutage,Laramie County Community College 7-1,13,
