office,district,party,county,candidate,precinct,votes,winner
U.S. Senate,,D,Crook,Dale Groutage,Sundance Inside North 1-1,24,
U.S. Senate,,D,Crook,Dale Groutage,Sundance Inside South 1-2,24,
U.S. Senate,,D,Crook,Dale Groutage,Sundance Outside 2-2,34,
U.S. Senate,,D,Crook,Dale Groutage,Beulah Community Bldg. 3-3,6,
U.S. Senate,,D,Crook,Dale Groutage,Aladdin Community 7-7,7,
U.S. Senate,,D,Crook,Dale Groutage,Alva Church 9-9,3,
U.S. Senate,,D,Crook,Dale Groutage,Tower Junction 11-11,4,
U.S. Senate,,D,Crook,Dale Groutage,Elmore 12-12,9,
U.S. Senate,,D,Crook,Dale Groutage,Hulett Outside 13-13,4,
U.S. Senate,,D,Crook,Dale Groutage,Hulett Inside 14-14,9,
U.S. Senate,,D,Crook,Dale Groutage,Pine Haven Town Hall 15-15,21,
U.S. Senate,,D,Crook,Dale Groutage,Moorcroft Outside 16-16,7,
U.S. Senate,,D,Crook,Dale Groutage,Moorcroft West Side 18-1,21,
U.S. Senate,,D,Crook,Dale Groutage,Moorcroft East Side 18-2,9,
U.S. Senate,,D,Crook,Dale Groutage,New Haven Community Bldg. 23-23,1,
U.S. Senate,,D,Crook,Dale Groutage,Colony Community Bldg. 24-24,1,
U.S. Senate,,D,Crook,Dale Groutage,Oshoto Community Bldg. 26-26,1,
U.S. Senate,,D,Crook,Dale Groutage,,185,TRUE
U.S. House,1,D,Crook,Gary Trauner,Sundance Inside North 1-1,24,
U.S. House,1,D,Crook,Gary Trauner,Sundance Inside South 1-2,22,
U.S. House,1,D,Crook,Gary Trauner,Sundance Outside 2-2,34,
U.S. House,1,D,Crook,Gary Trauner,Beulah Community Bldg. 3-3,6,
U.S. House,1,D,Crook,Gary Trauner,Aladdin Community 7-7,6,
U.S. House,1,D,Crook,Gary Trauner,Alva Church 9-9,1,
U.S. House,1,D,Crook,Gary Trauner,Tower Junction 11-11,3,
U.S. House,1,D,Crook,Gary Trauner,Elmore 12-12,8,
U.S. House,1,D,Crook,Gary Trauner,Hulett Outside 13-13,5,
U.S. House,1,D,Crook,Gary Trauner,Hulett Inside 14-14,9,
U.S. House,1,D,Crook,Gary Trauner,Pine Haven Town Hall 15-15,21,
U.S. House,1,D,Crook,Gary Trauner,Moorcroft Outside 16-16,7,
U.S. House,1,D,Crook,Gary Trauner,Moorcroft West Side 18-1,20,
U.S. House,1,D,Crook,Gary Trauner,Moorcroft East Side 18-2,10,
U.S. House,1,D,Crook,Gary Trauner,New Haven Community Bldg. 23-23,1,
U.S. House,1,D,Crook,Gary Trauner,Colony Community Bldg. 24-24,1,
U.S. House,1,D,Crook,Gary Trauner,Oshoto Community Bldg. 26-26,1,
U.S. House,1,D,Crook,Gary Trauner,,179,TRUE
Governor,,D,Crook,Dave Freudenthal,Sundance Inside North 1-1,29,
Governor,,D,Crook,Dave Freudenthal,Sundance Inside South 1-2,28,
Governor,,D,Crook,Dave Freudenthal,Sundance Outside 2-2,37,
Governor,,D,Crook,Dave Freudenthal,Beulah Community Bldg. 3-3,5,
Governor,,D,Crook,Dave Freudenthal,Aladdin Community 7-7,9,
Governor,,D,Crook,Dave Freudenthal,Alva Church 9-9,4,
Governor,,D,Crook,Dave Freudenthal,Tower Junction 11-11,5,
Governor,,D,Crook,Dave Freudenthal,Elmore 12-12,9,
Governor,,D,Crook,Dave Freudenthal,Hulett Outside 13-13,7,
Governor,,D,Crook,Dave Freudenthal,Hulett Inside 14-14,8,
Governor,,D,Crook,Dave Freudenthal,Pine Haven Town Hall 15-15,27,
Governor,,D,Crook,Dave Freudenthal,Moorcroft Outside 16-16,8,
Governor,,D,Crook,Dave Freudenthal,Moorcroft West Side 18-1,20,
Governor,,D,Crook,Dave Freudenthal,Moorcroft East Side 18-2,10,
Governor,,D,Crook,Dave Freudenthal,New Haven Community Bldg. 23-23,1,
Governor,,D,Crook,Dave Freudenthal,Colony Community Bldg. 24-24,1,
Governor,,D,Crook,Dave Freudenthal,Oshoto Community Bldg. 26-26,1,
Governor,,D,Crook,Dave Freudenthal,,209,TRUE
Governor,,D,Crook,Al Hamburg,Sundance Inside North 1-1,1,
Governor,,D,Crook,Al Hamburg,Sundance Inside South 1-2,4,
Governor,,D,Crook,Al Hamburg,Sundance Outside 2-2,1,
Governor,,D,Crook,Al Hamburg,Beulah Community Bldg. 3-3,2,
Governor,,D,Crook,Al Hamburg,Aladdin Community 7-7,0,
Governor,,D,Crook,Al Hamburg,Alva Church 9-9,1,
Governor,,D,Crook,Al Hamburg,Tower Junction 11-11,0,
Governor,,D,Crook,Al Hamburg,Elmore 12-12,0,
Governor,,D,Crook,Al Hamburg,Hulett Outside 13-13,0,
Governor,,D,Crook,Al Hamburg,Hulett Inside 14-14,1,
Governor,,D,Crook,Al Hamburg,Pine Haven Town Hall 15-15,1,
Governor,,D,Crook,Al Hamburg,Moorcroft Outside 16-16,0,
