office,district,party,county,candidate,precinct,votes,winner
U.S. Senate,,R,Big Horn,Craig Thomas,Burlington Town Hall 2-1,176,
U.S. Senate,,R,Big Horn,Craig Thomas,Otto 3-1,69,
U.S. Senate,,R,Big Horn,Craig Thomas,Emblem Irrigation District Office 5-1,38,
U.S. Senate,,R,Big Horn,Craig Thomas,Manderson Town Hall 8-1,102,
U.S. Senate,,R,Big Horn,Craig Thomas,Hyattville Community Center 6-1,60,
U.S. Senate,,R,Big Horn,Craig Thomas,Greybull Elks Lodge 11-1,653,
U.S. Senate,,R,Big Horn,Craig Thomas,Shell Community Hall 16-1,147,
U.S. Senate,,R,Big Horn,Craig Thomas,Cowley Administration Bldg 22-1,242,
U.S. Senate,,R,Big Horn,Craig Thomas,Deaver Community Hall 25-1,66,
U.S. Senate,,R,Big Horn,Craig Thomas,Lovell Middle School Gym 20-1,824,
U.S. Senate,,R,Big Horn,Craig Thomas,Rocky Mtn High School Byron 23-1,163,
U.S. Senate,,R,Big Horn,Craig Thomas,Frannie Community Meeting House 26-1,54,
U.S. Senate,,R,Big Horn,Craig Thomas,Courthouse/Meeting Room/Basin 1-1,563,
U.S. Senate,,R,Big Horn,Craig Thomas,Total,3157,TRUE
U.S. House,1,R,Big Horn,Barbara Cubin,Burlington Town Hall 2-1,124,
U.S. House,1,R,Big Horn,Barbara Cubin,Otto 3-1,54,
U.S. House,1,R,Big Horn,Barbara Cubin,Emblem Irrigation District Office 5-1,28,
U.S. House,1,R,Big Horn,Barbara Cubin,Manderson Town Hall 8-1,79,
U.S. House,1,R,Big Horn,Barbara Cubin,Hyattville Community Center 6-1,56,
U.S. House,1,R,Big Horn,Barbara Cubin,Greybull Elks Lodge 11-1,501,
U.S. House,1,R,Big Horn,Barbara Cubin,Shell Community Hall 16-1,115,
U.S. House,1,R,Big Horn,Barbara Cubin,Cowley Administration Bldg 22-1,188,
U.S. House,1,R,Big Horn,Barbara Cubin,Deaver Community Hall 25-1,44,
U.S. House,1,R,Big Horn,Barbara Cubin,Lovell Middle School Gym 20-1,585,
U.S. House,1,R,Big Horn,Barbara Cubin,Rocky Mtn High School Byron 23-1,131,
U.S. House,1,R,Big Horn,Barbara Cubin,Frannie Community Meeting House 26-1,47,
U.S. House,1,R,Big Horn,Barbara Cubin,Courthouse/Meeting Room/Basin 1-1,374,
U.S. House,1,R,Big Horn,Barbara Cubin,Total,2326,TRUE
U.S. House,1,R,Big Horn,Bill Winney,Burlington Town Hall 2-1,54,
U.S. House,1,R,Big Horn,Bill Winney,Otto 3-1,13,
U.S. House,1,R,Big Horn,Bill Winney,Emblem Irrigation District Office 5-1,13,
U.S. House,1,R,Big Horn,Bill Winney,Manderson Town Hall 8-1,25,
U.S. House,1,R,Big Horn,Bill Winney,Hyattville Community Center 6-1,6,
U.S. House,1,R,Big Horn,Bill Winney,Greybull Elks Lodge 11-1,200,
U.S. House,1,R,Big Horn,Bill Winney,Shell Community Hall 16-1,47,
U.S. House,1,R,Big Horn,Bill Winney,Cowley Administration Bldg 22-1,60,
U.S. House,1,R,Big Horn,Bill Winney,Deaver Community Hall 25-1,22,
U.S. House,1,R,Big Horn,Bill Winney,Lovell Middle School Gym 20-1,249,
U.S. House,1,R,Big Horn,Bill Winney,Rocky Mtn High School Byron 23-1,39,
U.S. House,1,R,Big Horn,Bill Winney,Frannie Community Meeting House 26-1,10,
U.S. House,1,R,Big Horn,Bill Winney,Courthouse/Meeting Room/Basin 1-1,213,
U.S. House,1,R,Big Horn,Bill Winney,Total,951,
Governor,,R,Big Horn,Ray Hunkins,Burlington Town Hall 2-1,111,
Governor,,R,Big Horn,Ray Hunkins,Otto 3-1,56,
Governor,,R,Big Horn,Ray Hunkins,Emblem Irrigation District Office 5-1,32,
Governor,,R,Big Horn,Ray Hunkins,Manderson Town Hall 8-1,73,
Governor,,R,Big Horn,Ray Hunkins,Hyattville Community Center 6-1,43,
Governor,,R,Big Horn,Ray Hunkins,Greybull Elks Lodge 11-1,453,
Governor,,R,Big Horn,Ray Hunkins,Shell Community Hall 16-1,100,
Governor,,R,Big Horn,Ray Hunkins,Cowley Administration Bldg 22-1,175,
Governor,,R,Big Horn,Ray Hunkins,Deaver Community Hall 25-1,38,
Governor,,R,Big Horn,Ray Hunkins,Lovell Middle School Gym 20-1,588,
Governor,,R,Big Horn,Ray Hunkins,Rocky Mtn High School Byron 23-1,141,
Governor,,R,Big Horn,Ray Hunkins,Frannie Community Meeting House 26-1,48,
Governor,,R,Big Horn,Ray Hunkins,Courthouse/Meeting Room/Basin 1-1,365,
Governor,,R,Big Horn,Ray Hunkins,Total,2223,TRUE
Governor,,R,Big Horn,John H. Self,Burlington Town Hall 2-1,24,
Governor,,R,Big Horn,John H. Self,Otto 3-1,7,
Governor,,R,Big Horn,John H. Self,Emblem Irrigation District Office 5-1,4,
Governor,,R,Big Horn,John H. Self,Manderson Town Hall 8-1,19,
Governor,,R,Big Horn,John H. Self,Hyattville Community Center 6-1,8,
Governor,,R,Big Horn,John H. Self,Greybull Elks Lodge 11-1,138,
Governor,,R,Big Horn,John H. Self,Shell Community Hall 16-1,37,
Governor,,R,Big Horn,John H. Self,Cowley Administration Bldg 22-1,34,
Governor,,R,Big Horn,John H. Self,Deaver Community Hall 25-1,16,
Governor,,R,Big Horn,John H. Self,Lovell Middle School Gym 20-1,115,
Governor,,R,Big Horn,John H. Self,Rocky Mtn High School Byron 23-1,18,
Governor,,R,Big Horn,John H. Self,Frannie Community Meeting House 26-1,7,
Governor,,R,Big Horn,John H. Self,Courthouse/Meeting Room/Basin 1-1,113,
Governor,,R,Big Horn,John H. Self,Total,540,
Secretary of State,,R,Big Horn,Mary Ann Collins,Burlington Town Hall 2-1,58,
Secretary of State,,R,Big Horn,Mary Ann Collins,Otto 3-1,26,
Secretary of State,,R,Big Horn,Mary Ann Collins,Emblem Irrigation District Office 5-1,17,
Secretary of State,,R,Big Horn,Mary Ann Collins,Manderson Town Hall 8-1,35,
Secretary of State,,R,Big Horn,Mary Ann Collins,Hyattville Community Center 6-1,29,
Secretary of State,,R,Big Horn,Mary Ann Collins,Greybull Elks Lodge 11-1,254,
Secretary of State,,R,Big Horn,Mary Ann Collins,Shell Community Hall 16-1,47,
Secretary of State,,R,Big Horn,Mary Ann Collins,Cowley Administration Bldg 22-1,61,
Secretary of State,,R,Big Horn,Mary Ann Collins,Deaver Community Hall 25-1,20,
Secretary of State,,R,Big Horn,Mary Ann Collins,Lovell Middle School Gym 20-1,184,
Secretary of State,,R,Big Horn,Mary Ann Collins,Rocky Mtn High School Byron 23-1,50,
Secretary of State,,R,Big Horn,Mary Ann Collins,Frannie Community Meeting House 26-1,13,
Secretary of State,,R,Big Horn,Mary Ann Collins,Courthouse/Meeting Room/Basin 1-1,210,
Secretary of State,,R,Big Horn,Mary Ann Collins,Total,1004,
Secretary of State,,R,Big Horn,Max Maxfield,Burlington Town Hall 2-1,101,
Secretary of State,,R,Big Horn,Max Maxfield,Otto 3-1,39,
Secretary of State,,R,Big Horn,Max Maxfield,Emblem Irrigation District Office 5-1,24,
Secretary of State,,R,Big Horn,Max Maxfield,Manderson Town Hall 8-1,65,
Secretary of State,,R,Big Horn,Max Maxfield,Hyattville Community Center 6-1,26,
Secretary of State,,R,Big Horn,Max Maxfield,Greybull Elks Lodge 11-1,421,
Secretary of State,,R,Big Horn,Max Maxfield,Shell Community Hall 16-1,107,
Secretary of State,,R,Big Horn,Max Maxfield,Cowley Administration Bldg 22-1,185,
Secretary of State,,R,Big Horn,Max Maxfield,Deaver Community Hall 25-1,45,
Secretary of State,,R,Big Horn,Max Maxfield,Lovell Middle School Gym 20-1,661,
Secretary of State,,R,Big Horn,Max Maxfield,Rocky Mtn High School Byron 23-1,115,
Secretary of State,,R,Big Horn,Max Maxfield,Frannie Community Meeting House 26-1,43,
Secretary of State,,R,Big Horn,Max Maxfield,Courthouse/Meeting Room/Basin 1-1,352,
Secretary of State,,R,Big Horn,Max Maxfield,Total,2184,TRUE
