office,district,party,county,candidate,precinct,votes,winner
U.S. Senate,,D,Washakie,Dale Groutage,Ten Sleep Senior Center 3-1,24,
U.S. Senate,,D,Washakie,Dale Groutage,Methodist RER Building/Worland 5-1,79,
U.S. Senate,,D,Washakie,Dale Groutage,Worland High School 5-2,88,
U.S. Senate,,D,Washakie,Dale Groutage,Worland Community Hall 5-3,71,
U.S. Senate,,D,Washakie,Dale Groutage,Worland Fairgrounds 5-5,67,
U.S. Senate,,D,Washakie,Dale Groutage,,329,TRUE
U.S. House,1,D,Washakie,Gary Trauner,Ten Sleep Senior Center 3-1,23,
U.S. House,1,D,Washakie,Gary Trauner,Methodist RER Building/Worland 5-1,81,
U.S. House,1,D,Washakie,Gary Trauner,Worland High School 5-2,92,
U.S. House,1,D,Washakie,Gary Trauner,Worland Community Hall 5-3,67,
U.S. House,1,D,Washakie,Gary Trauner,Worland Fairgrounds 5-5,72,
U.S. House,1,D,Washakie,Gary Trauner,,335,TRUE
Governor,,D,Washakie,Dave Freudenthal,Ten Sleep Senior Center 3-1,25,
Governor,,D,Washakie,Dave Freudenthal,Methodist RER Building/Worland 5-1,89,
Governor,,D,Washakie,Dave Freudenthal,Worland High School 5-2,108,
Governor,,D,Washakie,Dave Freudenthal,Worland Community Hall 5-3,76,
Governor,,D,Washakie,Dave Freudenthal,Worland Fairgrounds 5-5,80,
Governor,,D,Washakie,Dave Freudenthal,,378,TRUE
Governor,,D,Washakie,Al Hamburg,Ten Sleep Senior Center 3-1,3,
Governor,,D,Washakie,Al Hamburg,Methodist RER Building/Worland 5-1,2,
Governor,,D,Washakie,Al Hamburg,Worland High School 5-2,6,
Governor,,D,Washakie,Al Hamburg,Worland Community Hall 5-3,7,
Governor,,D,Washakie,Al Hamburg,Worland Fairgrounds 5-5,9,
Governor,,D,Washakie,Al Hamburg,,27,
State Auditor,,D,Washakie,Bill Eikenberry,Ten Sleep Senior Center 3-1,24,
State Auditor,,D,Washakie,Bill Eikenberry,Methodist RER Building/Worland 5-1,82,
State Auditor,,D,Washakie,Bill Eikenberry,Worland High School 5-2,96,
State Auditor,,D,Washakie,Bill Eikenberry,Worland Community Hall 5-3,66,
State Auditor,,D,Washakie,Bill Eikenberry,Worland Fairgrounds 5-5,71,
State Auditor,,D,Washakie,Bill Eikenberry,,339,TRUE
State Treasurer,,D,Washakie,Ron Redo,Ten Sleep Senior Center 3-1,23,
State Treasurer,,D,Washakie,Ron Redo,Methodist RER Building/Worland 5-1,80,
State Treasurer,,D,Washakie,Ron Redo,Worland High School 5-2,95,
State Treasurer,,D,Washakie,Ron Redo,Worland Community Hall 5-3,66,
State Treasurer,,D,Washakie,Ron Redo,Worland Fairgrounds 5-5,66,
State Treasurer,,D,Washakie,Ron Redo,,330,TRUE
Superintendent of Public Instruction,,D,Washakie,Michelle L. Hoffman,Ten Sleep Senior Center 3-1,23,
Superintendent of Public Instruction,,D,Washakie,Michelle L. Hoffman,Methodist RER Building/Worland 5-1,80,
Superintendent of Public Instruction,,D,Washakie,Michelle L. Hoffman,Worland High School 5-2,94,
Superintendent of Public Instruction,,D,Washakie,Michelle L. Hoffman,Worland Community Hall 5-3,73,
Superintendent of Public Instruction,,D,Washakie,Michelle L. Hoffman,Worland Fairgrounds 5-5,70,
Superintendent of Public Instruction,,D,Washakie,Michelle L. Hoffman,,340,TRUE
State House,27,D,Washakie,Debbie Healy Hammons,Ten Sleep Senior Center 3-1,26,
State House,27,D,Washakie,Debbie Healy Hammons,Methodist RER Building/Worland 5-1,90,
State House,27,D,Washakie,Debbie Healy Hammons,Worland High School 5-2,111,
State House,27,D,Washakie,Debbie Healy Hammons,Worland Community Hall 5-3,80,
State House,27,D,Washakie,Debbie Healy Hammons,Worland Fairgrounds 5-5,82,
State House,27,D,Washakie,Debbie Healy Hammons,,389,TRUE
