office,district,party,county,candidate,precinct,votes,winner
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-1,16,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-2,16,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-3,8,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-4,21,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-5,23,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-7,12,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-8,14,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-9,13,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-10,21,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-11,10,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-12,11,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-13,11,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-14,25,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-15,11,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-16,24,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-17,28,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-18,21,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-19,18,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-20,5,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-21,3,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 2-1,10,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 3-1,15,
U.S. Senate,,D,Campbell,Dale Groutage,Rozet School 4-1,20,
U.S. Senate,,D,Campbell,Dale Groutage,Antelope Valley Baptist Church/Gillette 5-1,23,
U.S. Senate,,D,Campbell,Dale Groutage,Rawhide School/Gillette 6-1,7,
U.S. Senate,,D,Campbell,Dale Groutage,Recluse School 7-1,6,
U.S. Senate,,D,Campbell,Dale Groutage,Little Powder School/Weston 8-1,2,
U.S. House,1,D,Campbell,Gary Trauner,Central Pavilion Camplex 1-1,15,
U.S. House,1,D,Campbell,Gary Trauner,Central Pavilion Camplex 1-2,17,
U.S. House,1,D,Campbell,Gary Trauner,Central Pavilion Camplex 1-3,10,
U.S. House,1,D,Campbell,Gary Trauner,Central Pavilion Camplex 1-4,21,
U.S. House,1,D,Campbell,Gary Trauner,Central Pavilion Camplex 1-5,23,
U.S. House,1,D,Campbell,Gary Trauner,Central Pavilion Camplex 1-7,14,
U.S. House,1,D,Campbell,Gary Trauner,Central Pavilion Camplex 1-8,15,
U.S. House,1,D,Campbell,Gary Trauner,Central Pavilion Camplex 1-9,12,
U.S. House,1,D,Campbell,Gary Trauner,Central Pavilion Camplex 1-10,22,
U.S. House,1,D,Campbell,Gary Trauner,Central Pavilion Camplex 1-11,10,
U.S. House,1,D,Campbell,Gary Trauner,Central Pavilion Camplex 1-12,14,
U.S. House,1,D,Campbell,Gary Trauner,Central Pavilion Camplex 1-13,11,
U.S. House,1,D,Campbell,Gary Trauner,Central Pavilion Camplex 1-14,26,
U.S. House,1,D,Campbell,Gary Trauner,Central Pavilion Camplex 1-15,11,
U.S. House,1,D,Campbell,Gary Trauner,Central Pavilion Camplex 1-16,23,
U.S. House,1,D,Campbell,Gary Trauner,Central Pavilion Camplex 1-17,27,
U.S. House,1,D,Campbell,Gary Trauner,Central Pavilion Camplex 1-18,20,
U.S. House,1,D,Campbell,Gary Trauner,Central Pavilion Camplex 1-19,20,
U.S. House,1,D,Campbell,Gary Trauner,Central Pavilion Camplex 1-20,5,
U.S. House,1,D,Campbell,Gary Trauner,Central Pavilion Camplex 1-21,3,
U.S. House,1,D,Campbell,Gary Trauner,Central Pavilion Camplex 2-1,10,
U.S. House,1,D,Campbell,Gary Trauner,Central Pavilion Camplex 3-1,16,
U.S. House,1,D,Campbell,Gary Trauner,Rozet School 4-1,20,
U.S. House,1,D,Campbell,Gary Trauner,Antelope Valley Baptist Church/Gillette 5-1,23,
U.S. House,1,D,Campbell,Gary Trauner,Rawhide School/Gillette 6-1,7,
U.S. House,1,D,Campbell,Gary Trauner,Recluse School 7-1,4,
U.S. House,1,D,Campbell,Gary Trauner,Little Powder School/Weston 8-1,2,
Governor,,D,Campbell,Dave Freudenthal,Central Pavilion Camplex 1-1,17,
Governor,,D,Campbell,Dave Freudenthal,Central Pavilion Camplex 1-2,17,
Governor,,D,Campbell,Dave Freudenthal,Central Pavilion Camplex 1-3,12,
Governor,,D,Campbell,Dave Freudenthal,Central Pavilion Camplex 1-4,24,
Governor,,D,Campbell,Dave Freudenthal,Central Pavilion Camplex 1-5,25,
Governor,,D,Campbell,Dave Freudenthal,Central Pavilion Camplex 1-7,13,
Governor,,D,Campbell,Dave Freudenthal,Central Pavilion Camplex 1-8,14,
Governor,,D,Campbell,Dave Freudenthal,Central Pavilion Camplex 1-9,13,
Governor,,D,Campbell,Dave Freudenthal,Central Pavilion Camplex 1-10,20,
Governor,,D,Campbell,Dave Freudenthal,Central Pavilion Camplex 1-11,9,
Governor,,D,Campbell,Dave Freudenthal,Central Pavilion Camplex 1-12,12,
Governor,,D,Campbell,Dave Freudenthal,Central Pavilion Camplex 1-13,11,
Governor,,D,Campbell,Dave Freudenthal,Central Pavilion Camplex 1-14,31,
Governor,,D,Campbell,Dave Freudenthal,Central Pavilion Camplex 1-15,9,
Governor,,D,Campbell,Dave Freudenthal,Central Pavilion Camplex 1-16,26,
Governor,,D,Campbell,Dave Freudenthal,Central Pavilion Camplex 1-17,26,
Governor,,D,Campbell,Dave Freudenthal,Central Pavilion Camplex 1-18,20,
Governor,,D,Campbell,Dave Freudenthal,Central Pavilion Camplex 1-19,20,
Governor,,D,Campbell,Dave Freudenthal,Central Pavilion Camplex 1-20,7,
Governor,,D,Campbell,Dave Freudenthal,Central Pavilion Camplex 1-21,3,
Governor,,D,Campbell,Dave Freudenthal,Central Pavilion Camplex 2-1,4,
Governor,,D,Campbell,Dave Freudenthal,Central Pavilion Camplex 3-1,16,
Governor,,D,Campbell,Dave Freudenthal,Rozet School 4-1,19,
Governor,,D,Campbell,Dave Freudenthal,Antelope Valley Baptist Church/Gillette 5-1,23,
Governor,,D,Campbell,Dave Freudenthal,Rawhide School/Gillette 6-1,10,
Governor,,D,Campbell,Dave Freudenthal,Recluse School 7-1,1,
Governor,,D,Campbell,Dave Freudenthal,Little Powder School/Weston 8-1,2,
Governor,,D,Campbell,Al Hamburg,Central Pavilion Camplex 1-1,3,
Governor,,D,Campbell,Al Hamburg,Central Pavilion Camplex 1-2,2,
Governor,,D,Campbell,Al Hamburg,Central Pavilion Camplex 1-3,1,
Governor,,D,Campbell,Al Hamburg,Central Pavilion Camplex 1-4,1,
Governor,,D,Campbell,Al Hamburg,Central Pavilion Camplex 1-5,1,
