office,district,party,county,candidate,precinct,votes,winner
U.S. Senate,,D,Niobrara,Dale Groutage,Warren 1-2,0,
U.S. Senate,,D,Niobrara,Dale Groutage,Hat Creek 3-2,0,
U.S. Senate,,D,Niobrara,Dale Groutage,Lance Creek 4-1,1,
U.S. Senate,,D,Niobrara,Dale Groutage,North Lusk 6-1,12,
U.S. Senate,,D,Niobrara,Dale Groutage,South Lusk 6-2,24,
U.S. Senate,,D,Niobrara,Dale Groutage,Manville 7-1,6,
U.S. Senate,,D,Niobrara,Dale Groutage,,43,TRUE
U.S. House,1,D,Niobrara,Gary Trauner,Warren 1-2,0,
U.S. House,1,D,Niobrara,Gary Trauner,Hat Creek 3-2,0,
U.S. House,1,D,Niobrara,Gary Trauner,Lance Creek 4-1,1,
U.S. House,1,D,Niobrara,Gary Trauner,North Lusk 6-1,14,
U.S. House,1,D,Niobrara,Gary Trauner,South Lusk 6-2,27,
U.S. House,1,D,Niobrara,Gary Trauner,Manville 7-1,6,
U.S. House,1,D,Niobrara,Gary Trauner,,48,TRUE
Governor,,D,Niobrara,Dave Freudenthal,Warren 1-2,0,
Governor,,D,Niobrara,Dave Freudenthal,Hat Creek 3-2,0,
Governor,,D,Niobrara,Dave Freudenthal,Lance Creek 4-1,1,
Governor,,D,Niobrara,Dave Freudenthal,North Lusk 6-1,14,
Governor,,D,Niobrara,Dave Freudenthal,South Lusk 6-2,30,
Governor,,D,Niobrara,Dave Freudenthal,Manville 7-1,5,
Governor,,D,Niobrara,Dave Freudenthal,,50,TRUE
Governor,,D,Niobrara,Al Hamburg,Warren 1-2,0,
Governor,,D,Niobrara,Al Hamburg,Hat Creek 3-2,0,
Governor,,D,Niobrara,Al Hamburg,Lance Creek 4-1,0,
Governor,,D,Niobrara,Al Hamburg,North Lusk 6-1,3,
Governor,,D,Niobrara,Al Hamburg,South Lusk 6-2,2,
Governor,,D,Niobrara,Al Hamburg,Manville 7-1,3,
Governor,,D,Niobrara,Al Hamburg,,8,
State Auditor,,D,Niobrara,Bill Eikenberry,Warren 1-2,0,
State Auditor,,D,Niobrara,Bill Eikenberry,Hat Creek 3-2,0,
State Auditor,,D,Niobrara,Bill Eikenberry,Lance Creek 4-1,1,
State Auditor,,D,Niobrara,Bill Eikenberry,North Lusk 6-1,13,
State Auditor,,D,Niobrara,Bill Eikenberry,South Lusk 6-2,28,
State Auditor,,D,Niobrara,Bill Eikenberry,Manville 7-1,6,
State Auditor,,D,Niobrara,Bill Eikenberry,,48,TRUE
State Treasurer,,D,Niobrara,Ron Redo,Warren 1-2,0,
State Treasurer,,D,Niobrara,Ron Redo,Hat Creek 3-2,0,
State Treasurer,,D,Niobrara,Ron Redo,Lance Creek 4-1,0,
State Treasurer,,D,Niobrara,Ron Redo,North Lusk 6-1,14,
State Treasurer,,D,Niobrara,Ron Redo,South Lusk 6-2,22,
State Treasurer,,D,Niobrara,Ron Redo,Manville 7-1,6,
State Treasurer,,D,Niobrara,Ron Redo,,42,TRUE
Superintendent of Public Instruction,,D,Niobrara,Michelle L. Hoffman,Warren 1-2,0,
Superintendent of Public Instruction,,D,Niobrara,Michelle L. Hoffman,Hat Creek 3-2,0,
Superintendent of Public Instruction,,D,Niobrara,Michelle L. Hoffman,Lance Creek 4-1,0,
Superintendent of Public Instruction,,D,Niobrara,Michelle L. Hoffman,North Lusk 6-1,12,
Superintendent of Public Instruction,,D,Niobrara,Michelle L. Hoffman,South Lusk 6-2,24,
Superintendent of Public Instruction,,D,Niobrara,Michelle L. Hoffman,Manville 7-1,6,
Superintendent of Public Instruction,,D,Niobrara,Michelle L. Hoffman,,42,TRUE
State House,2,D,Niobrara,Ross Diercks,Warren 1-2,0,
State House,2,D,Niobrara,Ross Diercks,Hat Creek 3-2,0,
State House,2,D,Niobrara,Ross Diercks,Lance Creek 4-1,1,
State House,2,D,Niobrara,Ross Diercks,North Lusk 6-1,16,
State House,2,D,Niobrara,Ross Diercks,South Lusk 6-2,28,
State House,2,D,Niobrara,Ross Diercks,Manville 7-1,6,
State House,2,D,Niobrara,Ross Diercks,,51,TRUE
