office,district,party,county,candidate,precinct,votes,winner
U.S. Senate,,R,Niobrara,Craig Thomas,Warren 1-2,44,
U.S. Senate,,R,Niobrara,Craig Thomas,Hat Creek 3-2,53,
U.S. Senate,,R,Niobrara,Craig Thomas,Lance Creek 4-1,39,
U.S. Senate,,R,Niobrara,Craig Thomas,North Lusk 6-1,197,
U.S. Senate,,R,Niobrara,Craig Thomas,South Lusk 6-2,327,
U.S. Senate,,R,Niobrara,Craig Thomas,Manville 7-1,87,
U.S. Senate,,R,Niobrara,Craig Thomas,,747,TRUE
U.S. House,1,R,Niobrara,Barbara Cubin,Warren 1-2,36,
U.S. House,1,R,Niobrara,Barbara Cubin,Hat Creek 3-2,42,
U.S. House,1,R,Niobrara,Barbara Cubin,Lance Creek 4-1,31,
U.S. House,1,R,Niobrara,Barbara Cubin,North Lusk 6-1,140,
U.S. House,1,R,Niobrara,Barbara Cubin,South Lusk 6-2,203,
U.S. House,1,R,Niobrara,Barbara Cubin,Manville 7-1,76,
U.S. House,1,R,Niobrara,Barbara Cubin,,528,
U.S. House,1,R,Niobrara,Bill Winney,Warren 1-2,8,
U.S. House,1,R,Niobrara,Bill Winney,Hat Creek 3-2,13,
U.S. House,1,R,Niobrara,Bill Winney,Lance Creek 4-1,10,
U.S. House,1,R,Niobrara,Bill Winney,North Lusk 6-1,65,
U.S. House,1,R,Niobrara,Bill Winney,South Lusk 6-2,156,
U.S. House,1,R,Niobrara,Bill Winney,Manville 7-1,12,
U.S. House,1,R,Niobrara,Bill Winney,,264,
Governor,,R,Niobrara,Ray Hunkins,Warren 1-2,35,
Governor,,R,Niobrara,Ray Hunkins,Hat Creek 3-2,45,
Governor,,R,Niobrara,Ray Hunkins,Lance Creek 4-1,36,
Governor,,R,Niobrara,Ray Hunkins,North Lusk 6-1,132,
Governor,,R,Niobrara,Ray Hunkins,South Lusk 6-2,244,
Governor,,R,Niobrara,Ray Hunkins,Manville 7-1,70,
Governor,,R,Niobrara,Ray Hunkins,,562,TRUE
Governor,,R,Niobrara,John H. Self,Warren 1-2,5,
Governor,,R,Niobrara,John H. Self,Hat Creek 3-2,5,
Governor,,R,Niobrara,John H. Self,Lance Creek 4-1,4,
Governor,,R,Niobrara,John H. Self,North Lusk 6-1,40,
Governor,,R,Niobrara,John H. Self,South Lusk 6-2,62,
Governor,,R,Niobrara,John H. Self,Manville 7-1,12,
Governor,,R,Niobrara,John H. Self,,128,
Secretary of State,,R,Niobrara,Mary Ann Collins,Warren 1-2,15,
Secretary of State,,R,Niobrara,Mary Ann Collins,Hat Creek 3-2,17,
Secretary of State,,R,Niobrara,Mary Ann Collins,Lance Creek 4-1,18,
Secretary of State,,R,Niobrara,Mary Ann Collins,North Lusk 6-1,78,
Secretary of State,,R,Niobrara,Mary Ann Collins,South Lusk 6-2,157,
Secretary of State,,R,Niobrara,Mary Ann Collins,Manville 7-1,34,
Secretary of State,,R,Niobrara,Mary Ann Collins,,319,
Secretary of State,,R,Niobrara,Max Maxfield,Warren 1-2,27,
Secretary of State,,R,Niobrara,Max Maxfield,Hat Creek 3-2,33,
Secretary of State,,R,Niobrara,Max Maxfield,Lance Creek 4-1,21,
Secretary of State,,R,Niobrara,Max Maxfield,North Lusk 6-1,122,
Secretary of State,,R,Niobrara,Max Maxfield,South Lusk 6-2,199,
Secretary of State,,R,Niobrara,Max Maxfield,Manville 7-1,52,
Secretary of State,,R,Niobrara,Max Maxfield,,454,TRUE
State Auditor,,R,Niobrara,Bruce Brown,Warren 1-2,23,
State Auditor,,R,Niobrara,Bruce Brown,Hat Creek 3-2,30,
State Auditor,,R,Niobrara,Bruce Brown,Lance Creek 4-1,28,
State Auditor,,R,Niobrara,Bruce Brown,North Lusk 6-1,67,
State Auditor,,R,Niobrara,Bruce Brown,South Lusk 6-2,189,
State Auditor,,R,Niobrara,Bruce Brown,Manville 7-1,37,
State Auditor,,R,Niobrara,Bruce Brown,,374,TRUE
State Auditor,,R,Niobrara,Rita Meyer,Warren 1-2,16,
State Auditor,,R,Niobrara,Rita Meyer,Hat Creek 3-2,18,
State Auditor,,R,Niobrara,Rita Meyer,Lance Creek 4-1,12,
State Auditor,,R,Niobrara,Rita Meyer,North Lusk 6-1,121,
State Auditor,,R,Niobrara,Rita Meyer,South Lusk 6-2,149,
State Auditor,,R,Niobrara,Rita Meyer,Manville 7-1,46,
State Auditor,,R,Niobrara,Rita Meyer,,362,
State Treasurer,,R,Niobrara,Joe Meyer,Warren 1-2,30,
State Treasurer,,R,Niobrara,Joe Meyer,Hat Creek 3-2,38,
State Treasurer,,R,Niobrara,Joe Meyer,Lance Creek 4-1,26,
State Treasurer,,R,Niobrara,Joe Meyer,North Lusk 6-1,134,
State Treasurer,,R,Niobrara,Joe Meyer,South Lusk 6-2,234,
State Treasurer,,R,Niobrara,Joe Meyer,Manville 7-1,66,
State Treasurer,,R,Niobrara,Joe Meyer,,528,TRUE
State Treasurer,,R,Niobrara,Fred Parady,Warren 1-2,11,
