office,district,party,county,candidate,precinct,votes,winner
U.S. Senate,,D,Lincoln,Dale Groutage,Fossil Country Museum/Kemmerer 1-1,63,
U.S. Senate,,D,Lincoln,Dale Groutage,Kemmerer Senior Center 1-2,68,
U.S. Senate,,D,Lincoln,Dale Groutage,Kemmerer Recreation Center 1-3,67,
U.S. Senate,,D,Lincoln,Dale Groutage,Diamondville School Admin. Bldg 1-4,50,
U.S. Senate,,D,Lincoln,Dale Groutage,Diamondville Search & Rescue 1-5,34,
U.S. Senate,,D,Lincoln,Dale Groutage,City of Kemmerer 1-6,13,
U.S. Senate,,D,Lincoln,Dale Groutage,Town of Opal 1-7,7,
U.S. Senate,,D,Lincoln,Dale Groutage,Town of La Barge 1-8,41,
U.S. Senate,,D,Lincoln,Dale Groutage,Afton Senior Center 2-1,21,
U.S. Senate,,D,Lincoln,Dale Groutage,Afton Senior Center 2-2,7,
U.S. Senate,,D,Lincoln,Dale Groutage,Alpine Civic Center 2-3,23,
U.S. Senate,,D,Lincoln,Dale Groutage,Bedford/Holdaway School 2-4,4,
U.S. Senate,,D,Lincoln,Dale Groutage,Etna/Metcalf School 2-5,25,
U.S. Senate,,D,Lincoln,Dale Groutage,Afton Junior High 2-6,12,
U.S. Senate,,D,Lincoln,Dale Groutage,Osmond Elementary School 2-7,24,
U.S. Senate,,D,Lincoln,Dale Groutage,Thayne Town Hall 2-8,6,
U.S. Senate,,D,Lincoln,Dale Groutage,Cokeville Town Hall 2-9,15,
U.S. Senate,,D,Lincoln,Dale Groutage,Star Valley Ranch Library 2-10,75,
U.S. Senate,,D,Lincoln,Dale Groutage,,555,TRUE
U.S. House,1,D,Lincoln,Gary Trauner,Fossil Country Museum/Kemmerer 1-1,72,
U.S. House,1,D,Lincoln,Gary Trauner,Kemmerer Senior Center 1-2,71,
U.S. House,1,D,Lincoln,Gary Trauner,Kemmerer Recreation Center 1-3,70,
U.S. House,1,D,Lincoln,Gary Trauner,Diamondville School Admin. Bldg 1-4,52,
U.S. House,1,D,Lincoln,Gary Trauner,Diamondville Search & Rescue 1-5,34,
U.S. House,1,D,Lincoln,Gary Trauner,City of Kemmerer 1-6,14,
U.S. House,1,D,Lincoln,Gary Trauner,Town of Opal 1-7,5,
U.S. House,1,D,Lincoln,Gary Trauner,Town of La Barge 1-8,37,
U.S. House,1,D,Lincoln,Gary Trauner,Afton Senior Center 2-1,17,
U.S. House,1,D,Lincoln,Gary Trauner,Afton Senior Center 2-2,7,
U.S. House,1,D,Lincoln,Gary Trauner,Alpine Civic Center 2-3,24,
U.S. House,1,D,Lincoln,Gary Trauner,Bedford/Holdaway School 2-4,6,
U.S. House,1,D,Lincoln,Gary Trauner,Etna/Metcalf School 2-5,25,
U.S. House,1,D,Lincoln,Gary Trauner,Afton Junior High 2-6,13,
U.S. House,1,D,Lincoln,Gary Trauner,Osmond Elementary School 2-7,25,
U.S. House,1,D,Lincoln,Gary Trauner,Thayne Town Hall 2-8,6,
U.S. House,1,D,Lincoln,Gary Trauner,Cokeville Town Hall 2-9,15,
U.S. House,1,D,Lincoln,Gary Trauner,Star Valley Ranch Library 2-10,74,
U.S. House,1,D,Lincoln,Gary Trauner,,567,TRUE
Governor,,D,Lincoln,Dave Freudenthal,Fossil Country Museum/Kemmerer 1-1,64,
Governor,,D,Lincoln,Dave Freudenthal,Kemmerer Senior Center 1-2,77,
Governor,,D,Lincoln,Dave Freudenthal,Kemmerer Recreation Center 1-3,76,
Governor,,D,Lincoln,Dave Freudenthal,Diamondville School Admin. Bldg 1-4,52,
Governor,,D,Lincoln,Dave Freudenthal,Diamondville Search & Rescue 1-5,36,
Governor,,D,Lincoln,Dave Freudenthal,City of Kemmerer 1-6,14,
Governor,,D,Lincoln,Dave Freudenthal,Town of Opal 1-7,6,
Governor,,D,Lincoln,Dave Freudenthal,Town of La Barge 1-8,38,
Governor,,D,Lincoln,Dave Freudenthal,Afton Senior Center 2-1,21,
Governor,,D,Lincoln,Dave Freudenthal,Afton Senior Center 2-2,6,
Governor,,D,Lincoln,Dave Freudenthal,Alpine Civic Center 2-3,22,
Governor,,D,Lincoln,Dave Freudenthal,Bedford/Holdaway School 2-4,6,
Governor,,D,Lincoln,Dave Freudenthal,Etna/Metcalf School 2-5,24,
Governor,,D,Lincoln,Dave Freudenthal,Afton Junior High 2-6,13,
Governor,,D,Lincoln,Dave Freudenthal,Osmond Elementary School 2-7,26,
Governor,,D,Lincoln,Dave Freudenthal,Thayne Town Hall 2-8,5,
Governor,,D,Lincoln,Dave Freudenthal,Cokeville Town Hall 2-9,18,
Governor,,D,Lincoln,Dave Freudenthal,Star Valley Ranch Library 2-10,75,
Governor,,D,Lincoln,Dave Freudenthal,,579,TRUE
Governor,,D,Lincoln,Al Hamburg,Fossil Country Museum/Kemmerer 1-1,10,
Governor,,D,Lincoln,Al Hamburg,Kemmerer Senior Center 1-2,7,
Governor,,D,Lincoln,Al Hamburg,Kemmerer Recreation Center 1-3,3,
Governor,,D,Lincoln,Al Hamburg,Diamondville School Admin. Bldg 1-4,5,
Governor,,D,Lincoln,Al Hamburg,Diamondville Search & Rescue 1-5,6,
Governor,,D,Lincoln,Al Hamburg,City of Kemmerer 1-6,1,
Governor,,D,Lincoln,Al Hamburg,Town of Opal 1-7,1,
Governor,,D,Lincoln,Al Hamburg,Town of La Barge 1-8,8,
Governor,,D,Lincoln,Al Hamburg,Afton Senior Center 2-1,3,
Governor,,D,Lincoln,Al Hamburg,Afton Senior Center 2-2,1,
Governor,,D,Lincoln,Al Hamburg,Alpine Civic Center 2-3,6,
Governor,,D,Lincoln,Al Hamburg,Bedford/Holdaway School 2-4,0,
Governor,,D,Lincoln,Al Hamburg,Etna/Metcalf School 2-5,2,
Governor,,D,Lincoln,Al Hamburg,Afton Junior High 2-6,1,
Governor,,D,Lincoln,Al Hamburg,Osmond Elementary School 2-7,3,
Governor,,D,Lincoln,Al Hamburg,Thayne Town Hall 2-8,1,
Governor,,D,Lincoln,Al Hamburg,Cokeville Town Hall 2-9,1,
Governor,,D,Lincoln,Al Hamburg,Star Valley Ranch Library 2-10,9,
Governor,,D,Lincoln,Al Hamburg,,68,
State Auditor,,D,Lincoln,Bill Eikenberry,Fossil Country Museum/Kemmerer 1-1,62,
State Auditor,,D,Lincoln,Bill Eikenberry,Kemmerer Senior Center 1-2,67,
State Auditor,,D,Lincoln,Bill Eikenberry,Kemmerer Recreation Center 1-3,68,
State Auditor,,D,Lincoln,Bill Eikenberry,Diamondville School Admin. Bldg 1-4,50,
State Auditor,,D,Lincoln,Bill Eikenberry,Diamondville Search & Rescue 1-5,35,
State Auditor,,D,Lincoln,Bill Eikenberry,City of Kemmerer 1-6,13,
State Auditor,,D,Lincoln,Bill Eikenberry,Town of Opal 1-7,5,
State Auditor,,D,Lincoln,Bill Eikenberry,Town of La Barge 1-8,35,
State Auditor,,D,Lincoln,Bill Eikenberry,Afton Senior Center 2-1,18,
State Auditor,,D,Lincoln,Bill Eikenberry,Afton Senior Center 2-2,6,
State Auditor,,D,Lincoln,Bill Eikenberry,Alpine Civic Center 2-3,24,
State Auditor,,D,Lincoln,Bill Eikenberry,Bedford/Holdaway School 2-4,5,
State Auditor,,D,Lincoln,Bill Eikenberry,Etna/Metcalf School 2-5,26,
State Auditor,,D,Lincoln,Bill Eikenberry,Afton Junior High 2-6,13,
State Auditor,,D,Lincoln,Bill Eikenberry,Osmond Elementary School 2-7,26,
State Auditor,,D,Lincoln,Bill Eikenberry,Thayne Town Hall 2-8,6,
State Auditor,,D,Lincoln,Bill Eikenberry,Cokeville Town Hall 2-9,16,
State Auditor,,D,Lincoln,Bill Eikenberry,Star Valley Ranch Library 2-10,72,
State Auditor,,D,Lincoln,Bill Eikenberry,,547,TRUE
State Treasurer,,D,Lincoln,Ron Redo,Fossil Country Museum/Kemmerer 1-1,60,
State Treasurer,,D,Lincoln,Ron Redo,Kemmerer Senior Center 1-2,65,
State Treasurer,,D,Lincoln,Ron Redo,Kemmerer Recreation Center 1-3,65,
State Treasurer,,D,Lincoln,Ron Redo,Diamondville School Admin. Bldg 1-4,45,
State Treasurer,,D,Lincoln,Ron Redo,Diamondville Search & Rescue 1-5,30,
State Treasurer,,D,Lincoln,Ron Redo,City of Kemmerer 1-6,13,
State Treasurer,,D,Lincoln,Ron Redo,Town of Opal 1-7,6,
State Treasurer,,D,Lincoln,Ron Redo,Town of La Barge 1-8,38,
State Treasurer,,D,Lincoln,Ron Redo,Afton Senior Center 2-1,15,
State Treasurer,,D,Lincoln,Ron Redo,Afton Senior Center 2-2,7,
State Treasurer,,D,Lincoln,Ron Redo,Alpine Civic Center 2-3,23,
State Treasurer,,D,Lincoln,Ron Redo,Bedford/Holdaway School 2-4,6,
State Treasurer,,D,Lincoln,Ron Redo,Etna/Metcalf School 2-5,24,
State Treasurer,,D,Lincoln,Ron Redo,Afton Junior High 2-6,11,
State Treasurer,,D,Lincoln,Ron Redo,Osmond Elementary School 2-7,25,
State Treasurer,,D,Lincoln,Ron Redo,Thayne Town Hall 2-8,5,
State Treasurer,,D,Lincoln,Ron Redo,Cokeville Town Hall 2-9,16,
State Treasurer,,D,Lincoln,Ron Redo,Star Valley Ranch Library 2-10,73,
State Treasurer,,D,Lincoln,Ron Redo,,527,TRUE
Superintendent of Public Instruction,,D,Lincoln,Michelle L. Hoffman,Fossil Country Museum/Kemmerer 1-1,62,
Superintendent of Public Instruction,,D,Lincoln,Michelle L. Hoffman,Kemmerer Senior Center 1-2,64,
Superintendent of Public Instruction,,D,Lincoln,Michelle L. Hoffman,Kemmerer Recreation Center 1-3,70,
Superintendent of Public Instruction,,D,Lincoln,Michelle L. Hoffman,Diamondville School Admin. Bldg 1-4,47,
Superintendent of Public Instruction,,D,Lincoln,Michelle L. Hoffman,Diamondville Search & Rescue 1-5,34,
Superintendent of Public Instruction,,D,Lincoln,Michelle L. Hoffman,City of Kemmerer 1-6,13,
Superintendent of Public Instruction,,D,Lincoln,Michelle L. Hoffman,Town of Opal 1-7,5,
Superintendent of Public Instruction,,D,Lincoln,Michelle L. Hoffman,Town of La Barge 1-8,35,
Superintendent of Public Instruction,,D,Lincoln,Michelle L. Hoffman,Afton Senior Center 2-1,17,
Superintendent of Public Instruction,,D,Lincoln,Michelle L. Hoffman,Afton Senior Center 2-2,7,
Superintendent of Public Instruction,,D,Lincoln,Michelle L. Hoffman,Alpine Civic Center 2-3,25,
Superintendent of Public Instruction,,D,Lincoln,Michelle L. Hoffman,Bedford/Holdaway School 2-4,5,
Superintendent of Public Instruction,,D,Lincoln,Michelle L. Hoffman,Etna/Metcalf School 2-5,24,
Superintendent of Public Instruction,,D,Lincoln,Michelle L. Hoffman,Afton Junior High 2-6,12,
Superintendent of Public Instruction,,D,Lincoln,Michelle L. Hoffman,Osmond Elementary School 2-7,28,
Superintendent of Public Instruction,,D,Lincoln,Michelle L. Hoffman,Thayne Town Hall 2-8,5,
Superintendent of Public Instruction,,D,Lincoln,Michelle L. Hoffman,Cokeville Town Hall 2-9,16,
Superintendent of Public Instruction,,D,Lincoln,Michelle L. Hoffman,Star Valley Ranch Library 2-10,73,
Superintendent of Public Instruction,,D,Lincoln,Michelle L. Hoffman,,542,TRUE
