office,district,party,county,candidate,precinct,votes,winner
U.S. Senate,,D,Weston,Dale Groutage,State Forestry Building/Newcastle 1-1,29,
U.S. Senate,,D,Weston,Dale Groutage,State Forestry Building/Newcastle 1-2,24,
U.S. Senate,,D,Weston,Dale Groutage,Osage School 2-1,5,
U.S. Senate,,D,Weston,Dale Groutage,Upton Community Center 3-1,6,
U.S. Senate,,D,Weston,Dale Groutage,Upton Community Center 4-1,30,
U.S. Senate,,D,Weston,Dale Groutage,State Forestry Building/Newcastle 5-1,20,
U.S. Senate,,D,Weston,Dale Groutage,State Forestry Building/Newcastle 5-2,20,
U.S. Senate,,D,Weston,Dale Groutage,State Forestry Building/Newcastle 5-3,30,
U.S. Senate,,D,Weston,Dale Groutage,,164,TRUE
U.S. House,1,D,Weston,Gary Trauner,State Forestry Building/Newcastle 1-1,29,
U.S. House,1,D,Weston,Gary Trauner,State Forestry Building/Newcastle 1-2,25,
U.S. House,1,D,Weston,Gary Trauner,Osage School 2-1,5,
U.S. House,1,D,Weston,Gary Trauner,Upton Community Center 3-1,5,
U.S. House,1,D,Weston,Gary Trauner,Upton Community Center 4-1,29,
U.S. House,1,D,Weston,Gary Trauner,State Forestry Building/Newcastle 5-1,20,
U.S. House,1,D,Weston,Gary Trauner,State Forestry Building/Newcastle 5-2,20,
U.S. House,1,D,Weston,Gary Trauner,State Forestry Building/Newcastle 5-3,33,
U.S. House,1,D,Weston,Gary Trauner,,166,TRUE
Governor,,D,Weston,Dave Freudenthal,State Forestry Building/Newcastle 1-1,32,
Governor,,D,Weston,Dave Freudenthal,State Forestry Building/Newcastle 1-2,21,
Governor,,D,Weston,Dave Freudenthal,Osage School 2-1,4,
Governor,,D,Weston,Dave Freudenthal,Upton Community Center 3-1,7,
Governor,,D,Weston,Dave Freudenthal,Upton Community Center 4-1,33,
Governor,,D,Weston,Dave Freudenthal,State Forestry Building/Newcastle 5-1,21,
Governor,,D,Weston,Dave Freudenthal,State Forestry Building/Newcastle 5-2,18,
Governor,,D,Weston,Dave Freudenthal,State Forestry Building/Newcastle 5-3,42,
Governor,,D,Weston,Dave Freudenthal,,178,TRUE
Governor,,D,Weston,Al Hamburg,State Forestry Building/Newcastle 1-1,0,
Governor,,D,Weston,Al Hamburg,State Forestry Building/Newcastle 1-2,4,
Governor,,D,Weston,Al Hamburg,Osage School 2-1,2,
Governor,,D,Weston,Al Hamburg,Upton Community Center 3-1,0,
Governor,,D,Weston,Al Hamburg,Upton Community Center 4-1,3,
Governor,,D,Weston,Al Hamburg,State Forestry Building/Newcastle 5-1,0,
Governor,,D,Weston,Al Hamburg,State Forestry Building/Newcastle 5-2,2,
Governor,,D,Weston,Al Hamburg,State Forestry Building/Newcastle 5-3,2,
Governor,,D,Weston,Al Hamburg,,13,
State Auditor,,D,Weston,Bill Eikenberry,State Forestry Building/Newcastle 1-1,29,
State Auditor,,D,Weston,Bill Eikenberry,State Forestry Building/Newcastle 1-2,23,
State Auditor,,D,Weston,Bill Eikenberry,Osage School 2-1,4,
State Auditor,,D,Weston,Bill Eikenberry,Upton Community Center 3-1,6,
State Auditor,,D,Weston,Bill Eikenberry,Upton Community Center 4-1,30,
State Auditor,,D,Weston,Bill Eikenberry,State Forestry Building/Newcastle 5-1,19,
State Auditor,,D,Weston,Bill Eikenberry,State Forestry Building/Newcastle 5-2,19,
State Auditor,,D,Weston,Bill Eikenberry,State Forestry Building/Newcastle 5-3,33,
State Auditor,,D,Weston,Bill Eikenberry,,163,TRUE
State Treasurer,,D,Weston,Ron Redo,State Forestry Building/Newcastle 1-1,28,
State Treasurer,,D,Weston,Ron Redo,State Forestry Building/Newcastle 1-2,22,
State Treasurer,,D,Weston,Ron Redo,Osage School 2-1,5,
State Treasurer,,D,Weston,Ron Redo,Upton Community Center 3-1,6,
State Treasurer,,D,Weston,Ron Redo,Upton Community Center 4-1,30,
State Treasurer,,D,Weston,Ron Redo,State Forestry Building/Newcastle 5-1,18,
State Treasurer,,D,Weston,Ron Redo,State Forestry Building/Newcastle 5-2,19,
State Treasurer,,D,Weston,Ron Redo,State Forestry Building/Newcastle 5-3,31,
State Treasurer,,D,Weston,Ron Redo,,159,TRUE
Superintendent of Public Instruction,,D,Weston,Michelle L. Hoffman,State Forestry Building/Newcastle 1-1,29,
Superintendent of Public Instruction,,D,Weston,Michelle L. Hoffman,State Forestry Building/Newcastle 1-2,22,
Superintendent of Public Instruction,,D,Weston,Michelle L. Hoffman,Osage School 2-1,5,
Superintendent of Public Instruction,,D,Weston,Michelle L. Hoffman,Upton Community Center 3-1,6,
Superintendent of Public Instruction,,D,Weston,Michelle L. Hoffman,Upton Community Center 4-1,32,
Superintendent of Public Instruction,,D,Weston,Michelle L. Hoffman,State Forestry Building/Newcastle 5-1,18,
Superintendent of Public Instruction,,D,Weston,Michelle L. Hoffman,State Forestry Building/Newcastle 5-2,20,
Superintendent of Public Instruction,,D,Weston,Michelle L. Hoffman,State Forestry Building/Newcastle 5-3,33,
Superintendent of Public Instruction,,D,Weston,Michelle L. Hoffman,,165,TRUE
State House,2,D,Weston,Ross Diercks,State Forestry Building/Newcastle 1-1,29,
State House,2,D,Weston,Ross Diercks,State Forestry Building/Newcastle 5-1,21,
State House,2,D,Weston,Ross Diercks,State Forestry Building/Newcastle 5-2,20,
State House,2,D,Weston,Ross Diercks,State Forestry Building/Newcastle 5-3,40,
State House,2,D,Weston,Ross Diercks,,110,TRUE
