office,district,party,county,candidate,precinct,votes,winner
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-1,57,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-2,55,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-3,49,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-4,73,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-5,100,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-7,65,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-8,59,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-9,68,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-10,84,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-11,43,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-12,62,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-13,25,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-14,126,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-15,48,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-16,110,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-17,101,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-18,45,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-19,90,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-20,20,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 1-21,26,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 2-1,51,
U.S. Senate,,D,Campbell,Dale Groutage,Central Pavilion Camplex 3-1,66,
U.S. Senate,,D,Campbell,Dale Groutage,Rozet School 4-1,73,
U.S. Senate,,D,Campbell,Dale Groutage,Antelope Valley Baptist Church/Gillette 5-1,104,
U.S. Senate,,D,Campbell,Dale Groutage,Rawhide School/Gillette 6-1,30,
