office,district,party,county,candidate,precinct,votes,winner
U.S. Senate,,D,Platte,Dale Groutage,Old Wheatland Junior High 1-1,73,
U.S. Senate,,D,Platte,Dale Groutage,Old Wheatland Junior High 1-2,102,
U.S. Senate,,D,Platte,Dale Groutage,Old Wheatland Junior High 1-3,137,
U.S. Senate,,D,Platte,Dale Groutage,Old Wheatland Junior High 1-4,108,
U.S. Senate,,D,Platte,Dale Groutage,4-H Bldg./Wheatland 1-6,167,
U.S. Senate,,D,Platte,Dale Groutage,Guernsey National Guard Armory 2-1,232,
U.S. Senate,,D,Platte,Dale Groutage,Guernsey National Guard Armory 3-1,26,
U.S. Senate,,D,Platte,Dale Groutage,Glendo Fire Hall 6-1,63,
U.S. Senate,,D,Platte,Dale Groutage,Glendo Fire Hall 6-2,26,
U.S. Senate,,D,Platte,Dale Groutage,Chugwater Comm. Center 9-1,14,
U.S. Senate,,D,Platte,Dale Groutage,Chugwater Comm. Center 10-1,46,
U.S. Senate,,D,Platte,Dale Groutage,Wheatland Bible Church 12-1,28,
U.S. Senate,,D,Platte,Dale Groutage,Old Wheatland Junior High 20-1,86,
U.S. Senate,,D,Platte,Dale Groutage,,1108,
U.S. Senate,,R,Platte,Craig Thomas,Old Wheatland Junior High 1-1,230,
U.S. Senate,,R,Platte,Craig Thomas,Old Wheatland Junior High 1-2,250,
U.S. Senate,,R,Platte,Craig Thomas,Old Wheatland Junior High 1-3,395,
U.S. Senate,,R,Platte,Craig Thomas,Old Wheatland Junior High 1-4,244,
U.S. Senate,,R,Platte,Craig Thomas,4-H Bldg./Wheatland 1-6,552,
U.S. Senate,,R,Platte,Craig Thomas,Guernsey National Guard Armory 2-1,333,
U.S. Senate,,R,Platte,Craig Thomas,Guernsey National Guard Armory 3-1,24,
U.S. Senate,,R,Platte,Craig Thomas,Glendo Fire Hall 6-1,128,
U.S. Senate,,R,Platte,Craig Thomas,Glendo Fire Hall 6-2,68,
U.S. Senate,,R,Platte,Craig Thomas,Chugwater Comm. Center 9-1,50,
U.S. Senate,,R,Platte,Craig Thomas,Chugwater Comm. Center 10-1,120,
U.S. Senate,,R,Platte,Craig Thomas,Wheatland Bible Church 12-1,196,
U.S. Senate,,R,Platte,Craig Thomas,Old Wheatland Junior High 20-1,262,
U.S. Senate,,R,Platte,Craig Thomas,,2852,TRUE
U.S. House,1,D,Platte,Gary Trauner,Old Wheatland Junior High 1-1,149,
U.S. House,1,D,Platte,Gary Trauner,Old Wheatland Junior High 1-2,187,
U.S. House,1,D,Platte,Gary Trauner,Old Wheatland Junior High 1-3,244,
U.S. House,1,D,Platte,Gary Trauner,Old Wheatland Junior High 1-4,186,
U.S. House,1,D,Platte,Gary Trauner,4-H Bldg./Wheatland 1-6,279,
U.S. House,1,D,Platte,Gary Trauner,Guernsey National Guard Armory 2-1,336,
U.S. House,1,D,Platte,Gary Trauner,Guernsey National Guard Armory 3-1,29,
U.S. House,1,D,Platte,Gary Trauner,Glendo Fire Hall 6-1,91,
U.S. House,1,D,Platte,Gary Trauner,Glendo Fire Hall 6-2,38,
U.S. House,1,D,Platte,Gary Trauner,Chugwater Comm. Center 9-1,21,
U.S. House,1,D,Platte,Gary Trauner,Chugwater Comm. Center 10-1,57,
U.S. House,1,D,Platte,Gary Trauner,Wheatland Bible Church 12-1,63,
U.S. House,1,D,Platte,Gary Trauner,Old Wheatland Junior High 20-1,162,
U.S. House,1,D,Platte,Gary Trauner,,1842,
U.S. House,1,L,Platte,Thomas R. Rankin,Old Wheatland Junior High 1-1,9,
