office,district,party,county,candidate,precinct,votes,winner
U.S. Senate,,D,Goshen,Dale Groutage,Prairie Center School/Meyers 1-1,1,
U.S. Senate,,D,Goshen,Dale Groutage,Jay Em 2-1,15,
U.S. Senate,,D,Goshen,Dale Groutage,Lingle Town Hall 8-1,63,
U.S. Senate,,D,Goshen,Dale Groutage,Ft. Laramie Town Hall 9-1,57,
U.S. Senate,,D,Goshen,Dale Groutage,Torrington Rendezvous Ctr. 10-1,65,
U.S. Senate,,D,Goshen,Dale Groutage,Torrington Rendezvous Ctr. 10-2,85,
U.S. Senate,,D,Goshen,Dale Groutage,Torrington Rendezvous Ctr. 10-3,64,
U.S. Senate,,D,Goshen,Dale Groutage,Torrington Rendezvous Ctr. 10-4,112,
U.S. Senate,,D,Goshen,Dale Groutage,Torrington Rendezvous Ctr. 10-5,54,
U.S. Senate,,D,Goshen,Dale Groutage,Torrington Rendezvous Ctr. 10-6,75,
U.S. Senate,,D,Goshen,Dale Groutage,Torrington Rendezvous Ctr. 10-7,90,
U.S. Senate,,D,Goshen,Dale Groutage,Torrington Rendezvous Ctr. 10-8,114,
U.S. Senate,,D,Goshen,Dale Groutage,Torrington Rendezvous Ctr. 10-9,95,
U.S. Senate,,D,Goshen,Dale Groutage,Torrington Rendezvous Ctr. 10-10,53,
U.S. Senate,,D,Goshen,Dale Groutage,Veteran Legion Post #56 13-1,30,
U.S. Senate,,D,Goshen,Dale Groutage,Yoder Women's Clubhouse 15-1,50,
U.S. Senate,,D,Goshen,Dale Groutage,Huntley School 16-1,26,
U.S. Senate,,D,Goshen,Dale Groutage,Hawk Springs Comm. Hall 17-1,17,
U.S. Senate,,D,Goshen,Dale Groutage,La Grange Memorial Bldg. 18-1,25,
U.S. Senate,,D,Goshen,Dale Groutage,Iowa Center Jackson Home 20-1,3,
U.S. Senate,,D,Goshen,Dale Groutage,,1094,
U.S. Senate,,R,Goshen,Craig Thomas,Prairie Center School/Meyers 1-1,44,
U.S. Senate,,R,Goshen,Craig Thomas,Jay Em 2-1,35,
U.S. Senate,,R,Goshen,Craig Thomas,Lingle Town Hall 8-1,393,
U.S. Senate,,R,Goshen,Craig Thomas,Ft. Laramie Town Hall 9-1,135,
U.S. Senate,,R,Goshen,Craig Thomas,Torrington Rendezvous Ctr. 10-1,106,
U.S. Senate,,R,Goshen,Craig Thomas,Torrington Rendezvous Ctr. 10-2,221,
U.S. Senate,,R,Goshen,Craig Thomas,Torrington Rendezvous Ctr. 10-3,162,
U.S. Senate,,R,Goshen,Craig Thomas,Torrington Rendezvous Ctr. 10-4,401,
U.S. Senate,,R,Goshen,Craig Thomas,Torrington Rendezvous Ctr. 10-5,199,
U.S. Senate,,R,Goshen,Craig Thomas,Torrington Rendezvous Ctr. 10-6,280,
U.S. Senate,,R,Goshen,Craig Thomas,Torrington Rendezvous Ctr. 10-7,250,
U.S. Senate,,R,Goshen,Craig Thomas,Torrington Rendezvous Ctr. 10-8,477,
U.S. Senate,,R,Goshen,Craig Thomas,Torrington Rendezvous Ctr. 10-9,288,
U.S. Senate,,R,Goshen,Craig Thomas,Torrington Rendezvous Ctr. 10-10,93,
U.S. Senate,,R,Goshen,Craig Thomas,Veteran Legion Post #56 13-1,65,
U.S. Senate,,R,Goshen,Craig Thomas,Yoder Women's Clubhouse 15-1,120,
U.S. Senate,,R,Goshen,Craig Thomas,Huntley School 16-1,154,
U.S. Senate,,R,Goshen,Craig Thomas,Hawk Springs Comm. Hall 17-1,71,
U.S. Senate,,R,Goshen,Craig Thomas,La Grange Memorial Bldg. 18-1,207,
U.S. Senate,,R,Goshen,Craig Thomas,Iowa Center Jackson Home 20-1,16,
U.S. Senate,,R,Goshen,Craig Thomas,,3717,TRUE
U.S. House,1,D,Goshen,Gary Trauner,Prairie Center School/Meyers 1-1,3,
U.S. House,1,D,Goshen,Gary Trauner,Jay Em 2-1,18,
