office,district,party,county,candidate,precinct,votes,winner
U.S. Senate,,D,Lincoln,Dale Groutage,Fossil Country Museum/Kemmerer 1-1,121,
U.S. Senate,,D,Lincoln,Dale Groutage,Kemmerer Senior Center 1-2,147,
U.S. Senate,,D,Lincoln,Dale Groutage,Kemmerer Recreation Center 1-3,135,
U.S. Senate,,D,Lincoln,Dale Groutage,Diamondville School Admin. Bldg 1-4,91,
U.S. Senate,,D,Lincoln,Dale Groutage,Diamondville Search & Rescue 1-5,68,
U.S. Senate,,D,Lincoln,Dale Groutage,City of Kemmerer 1-6,19,
U.S. Senate,,D,Lincoln,Dale Groutage,Town of Opal 1-7,17,
U.S. Senate,,D,Lincoln,Dale Groutage,Town of La Barge 1-8,56,
U.S. Senate,,D,Lincoln,Dale Groutage,Afton Senior Center 2-1,142,
U.S. Senate,,D,Lincoln,Dale Groutage,Afton Senior Center 2-2,35,
U.S. Senate,,D,Lincoln,Dale Groutage,Alpine Civic Center 2-3,149,
U.S. Senate,,D,Lincoln,Dale Groutage,Bedford/Holdaway School 2-4,56,
U.S. Senate,,D,Lincoln,Dale Groutage,Etna/Metcalf School 2-5,70,
U.S. Senate,,D,Lincoln,Dale Groutage,Afton Junior High 2-6,55,
U.S. Senate,,D,Lincoln,Dale Groutage,Osmond Elementary School 2-7,115,
U.S. Senate,,D,Lincoln,Dale Groutage,Thayne Town Hall 2-8,37,
U.S. Senate,,D,Lincoln,Dale Groutage,Cokeville Town Hall 2-9,52,
U.S. Senate,,D,Lincoln,Dale Groutage,Star Valley Ranch Library 2-10,202,
U.S. Senate,,D,Lincoln,Dale Groutage,,1567,
U.S. Senate,,R,Lincoln,Craig Thomas,Fossil Country Museum/Kemmerer 1-1,157,
U.S. Senate,,R,Lincoln,Craig Thomas,Kemmerer Senior Center 1-2,223,
U.S. Senate,,R,Lincoln,Craig Thomas,Kemmerer Recreation Center 1-3,276,
U.S. Senate,,R,Lincoln,Craig Thomas,Diamondville School Admin. Bldg 1-4,128,
U.S. Senate,,R,Lincoln,Craig Thomas,Diamondville Search & Rescue 1-5,57,
U.S. Senate,,R,Lincoln,Craig Thomas,City of Kemmerer 1-6,64,
U.S. Senate,,R,Lincoln,Craig Thomas,Town of Opal 1-7,37,
U.S. Senate,,R,Lincoln,Craig Thomas,Town of La Barge 1-8,245,
U.S. Senate,,R,Lincoln,Craig Thomas,Afton Senior Center 2-1,496,
U.S. Senate,,R,Lincoln,Craig Thomas,Afton Senior Center 2-2,170,
U.S. Senate,,R,Lincoln,Craig Thomas,Alpine Civic Center 2-3,304,
U.S. Senate,,R,Lincoln,Craig Thomas,Bedford/Holdaway School 2-4,239,
U.S. Senate,,R,Lincoln,Craig Thomas,Etna/Metcalf School 2-5,356,
U.S. Senate,,R,Lincoln,Craig Thomas,Afton Junior High 2-6,309,
U.S. Senate,,R,Lincoln,Craig Thomas,Osmond Elementary School 2-7,578,
U.S. Senate,,R,Lincoln,Craig Thomas,Thayne Town Hall 2-8,259,
U.S. Senate,,R,Lincoln,Craig Thomas,Cokeville Town Hall 2-9,215,
U.S. Senate,,R,Lincoln,Craig Thomas,Star Valley Ranch Library 2-10,482,
U.S. Senate,,R,Lincoln,Craig Thomas,,4595,TRUE
U.S. House,1,D,Lincoln,Gary Trauner,Fossil Country Museum/Kemmerer 1-1,160,
U.S. House,1,D,Lincoln,Gary Trauner,Kemmerer Senior Center 1-2,231,
U.S. House,1,D,Lincoln,Gary Trauner,Kemmerer Recreation Center 1-3,218,
U.S. House,1,D,Lincoln,Gary Trauner,Diamondville School Admin. Bldg 1-4,112,
U.S. House,1,D,Lincoln,Gary Trauner,Diamondville Search & Rescue 1-5,75,
U.S. House,1,D,Lincoln,Gary Trauner,City of Kemmerer 1-6,25,
U.S. House,1,D,Lincoln,Gary Trauner,Town of Opal 1-7,18,
U.S. House,1,D,Lincoln,Gary Trauner,Town of La Barge 1-8,61,
U.S. House,1,D,Lincoln,Gary Trauner,Afton Senior Center 2-1,146,
U.S. House,1,D,Lincoln,Gary Trauner,Afton Senior Center 2-2,36,
U.S. House,1,D,Lincoln,Gary Trauner,Alpine Civic Center 2-3,202,
U.S. House,1,D,Lincoln,Gary Trauner,Bedford/Holdaway School 2-4,62,
U.S. House,1,D,Lincoln,Gary Trauner,Etna/Metcalf School 2-5,104,
U.S. House,1,D,Lincoln,Gary Trauner,Afton Junior High 2-6,73,
U.S. House,1,D,Lincoln,Gary Trauner,Osmond Elementary School 2-7,120,
U.S. House,1,D,Lincoln,Gary Trauner,Thayne Town Hall 2-8,39,
U.S. House,1,D,Lincoln,Gary Trauner,Cokeville Town Hall 2-9,83,
U.S. House,1,D,Lincoln,Gary Trauner,Star Valley Ranch Library 2-10,243,
U.S. House,1,D,Lincoln,Gary Trauner,,2008,
U.S. House,1,L,Lincoln,Thomas R. Rankin,Fossil Country Museum/Kemmerer 1-1,17,
U.S. House,1,L,Lincoln,Thomas R. Rankin,Kemmerer Senior Center 1-2,12,
U.S. House,1,L,Lincoln,Thomas R. Rankin,Kemmerer Recreation Center 1-3,15,
U.S. House,1,L,Lincoln,Thomas R. Rankin,Diamondville School Admin. Bldg 1-4,15,
U.S. House,1,L,Lincoln,Thomas R. Rankin,Diamondville Search & Rescue 1-5,9,
U.S. House,1,L,Lincoln,Thomas R. Rankin,City of Kemmerer 1-6,1,
U.S. House,1,L,Lincoln,Thomas R. Rankin,Town of Opal 1-7,6,
U.S. House,1,L,Lincoln,Thomas R. Rankin,Town of La Barge 1-8,25,
U.S. House,1,L,Lincoln,Thomas R. Rankin,Afton Senior Center 2-1,26,
U.S. House,1,L,Lincoln,Thomas R. Rankin,Afton Senior Center 2-2,7,
U.S. House,1,L,Lincoln,Thomas R. Rankin,Alpine Civic Center 2-3,22,
U.S. House,1,L,Lincoln,Thomas R. Rankin,Bedford/Holdaway School 2-4,12,
U.S. House,1,L,Lincoln,Thomas R. Rankin,Etna/Metcalf School 2-5,24,
U.S. House,1,L,Lincoln,Thomas R. Rankin,Afton Junior High 2-6,12,
U.S. House,1,L,Lincoln,Thomas R. Rankin,Osmond Elementary School 2-7,29,
U.S. House,1,L,Lincoln,Thomas R. Rankin,Thayne Town Hall 2-8,13,
U.S. House,1,L,Lincoln,Thomas R. Rankin,Cokeville Town Hall 2-9,5,
U.S. House,1,L,Lincoln,Thomas R. Rankin,Star Valley Ranch Library 2-10,16,
U.S. House,1,L,Lincoln,Thomas R. Rankin,,266,
U.S. House,1,R,Lincoln,Barbara Cubin,Fossil Country Museum/Kemmerer 1-1,102,
U.S. House,1,R,Lincoln,Barbara Cubin,Kemmerer Senior Center 1-2,129,
U.S. House,1,R,Lincoln,Barbara Cubin,Kemmerer Recreation Center 1-3,175,
U.S. House,1,R,Lincoln,Barbara Cubin,Diamondville School Admin. Bldg 1-4,92,
U.S. House,1,R,Lincoln,Barbara Cubin,Diamondville Search & Rescue 1-5,42,
U.S. House,1,R,Lincoln,Barbara Cubin,City of Kemmerer 1-6,56,
U.S. House,1,R,Lincoln,Barbara Cubin,Town of Opal 1-7,30,
U.S. House,1,R,Lincoln,Barbara Cubin,Town of La Barge 1-8,217,
U.S. House,1,R,Lincoln,Barbara Cubin,Afton Senior Center 2-1,465,
U.S. House,1,R,Lincoln,Barbara Cubin,Afton Senior Center 2-2,163,
U.S. House,1,R,Lincoln,Barbara Cubin,Alpine Civic Center 2-3,233,
U.S. House,1,R,Lincoln,Barbara Cubin,Bedford/Holdaway School 2-4,217,
U.S. House,1,R,Lincoln,Barbara Cubin,Etna/Metcalf School 2-5,290,
U.S. House,1,R,Lincoln,Barbara Cubin,Afton Junior High 2-6,281,
U.S. House,1,R,Lincoln,Barbara Cubin,Osmond Elementary School 2-7,538,
U.S. House,1,R,Lincoln,Barbara Cubin,Thayne Town Hall 2-8,243,
U.S. House,1,R,Lincoln,Barbara Cubin,Cokeville Town Hall 2-9,184,
U.S. House,1,R,Lincoln,Barbara Cubin,Star Valley Ranch Library 2-10,424,
U.S. House,1,R,Lincoln,Barbara Cubin,,3881,TRUE
Governor,,D,Lincoln,Dave Freudenthal,Fossil Country Museum/Kemmerer 1-1,219,
Governor,,D,Lincoln,Dave Freudenthal,Kemmerer Senior Center 1-2,293,
Governor,,D,Lincoln,Dave Freudenthal,Kemmerer Recreation Center 1-3,310,
Governor,,D,Lincoln,Dave Freudenthal,Diamondville School Admin. Bldg 1-4,157,
Governor,,D,Lincoln,Dave Freudenthal,Diamondville Search & Rescue 1-5,105,
Governor,,D,Lincoln,Dave Freudenthal,City of Kemmerer 1-6,53,
Governor,,D,Lincoln,Dave Freudenthal,Town of Opal 1-7,38,
Governor,,D,Lincoln,Dave Freudenthal,Town of La Barge 1-8,146,
Governor,,D,Lincoln,Dave Freudenthal,Afton Senior Center 2-1,276,
Governor,,D,Lincoln,Dave Freudenthal,Afton Senior Center 2-2,89,
Governor,,D,Lincoln,Dave Freudenthal,Alpine Civic Center 2-3,278,
Governor,,D,Lincoln,Dave Freudenthal,Bedford/Holdaway School 2-4,113,
Governor,,D,Lincoln,Dave Freudenthal,Etna/Metcalf School 2-5,205,
Governor,,D,Lincoln,Dave Freudenthal,Afton Junior High 2-6,153,
Governor,,D,Lincoln,Dave Freudenthal,Osmond Elementary School 2-7,301,
Governor,,D,Lincoln,Dave Freudenthal,Thayne Town Hall 2-8,96,
Governor,,D,Lincoln,Dave Freudenthal,Cokeville Town Hall 2-9,148,
Governor,,D,Lincoln,Dave Freudenthal,Star Valley Ranch Library 2-10,368,
Governor,,D,Lincoln,Dave Freudenthal,,3348,TRUE
Governor,,R,Lincoln,Ray Hunkins,Fossil Country Museum/Kemmerer 1-1,59,
Governor,,R,Lincoln,Ray Hunkins,Kemmerer Senior Center 1-2,79,
Governor,,R,Lincoln,Ray Hunkins,Kemmerer Recreation Center 1-3,106,
Governor,,R,Lincoln,Ray Hunkins,Diamondville School Admin. Bldg 1-4,64,
Governor,,R,Lincoln,Ray Hunkins,Diamondville Search & Rescue 1-5,21,
Governor,,R,Lincoln,Ray Hunkins,City of Kemmerer 1-6,27,
Governor,,R,Lincoln,Ray Hunkins,Town of Opal 1-7,16,
Governor,,R,Lincoln,Ray Hunkins,Town of La Barge 1-8,151,
