office,district,party,county,candidate,precinct,votes,winner
U.S. Senate,,D,Niobrara,Dale Groutage,Hat Creek 3-2,1,
U.S. Senate,,D,Niobrara,Dale Groutage,Lance Creek 4-1,3,
U.S. Senate,,D,Niobrara,Dale Groutage,North Lusk 6-1,53,
U.S. Senate,,D,Niobrara,Dale Groutage,South Lusk 6-2,113,
U.S. Senate,,D,Niobrara,Dale Groutage,Manville 7-1,7,
U.S. Senate,,D,Niobrara,Dale Groutage,Warren 1-2,2,
U.S. Senate,,D,Niobrara,Dale Groutage,,179,
U.S. Senate,,R,Niobrara,Craig Thomas,Hat Creek 3-2,65,
U.S. Senate,,R,Niobrara,Craig Thomas,Lance Creek 4-1,70,
U.S. Senate,,R,Niobrara,Craig Thomas,North Lusk 6-1,241,
U.S. Senate,,R,Niobrara,Craig Thomas,South Lusk 6-2,332,
U.S. Senate,,R,Niobrara,Craig Thomas,Manville 7-1,114,
U.S. Senate,,R,Niobrara,Craig Thomas,Warren 1-2,52,
U.S. Senate,,R,Niobrara,Craig Thomas,,874,TRUE
U.S. House,1,D,Niobrara,Gary Trauner,Hat Creek 3-2,6,
U.S. House,1,D,Niobrara,Gary Trauner,Lance Creek 4-1,6,
U.S. House,1,D,Niobrara,Gary Trauner,North Lusk 6-1,105,
U.S. House,1,D,Niobrara,Gary Trauner,South Lusk 6-2,199,
U.S. House,1,D,Niobrara,Gary Trauner,Manville 7-1,17,
U.S. House,1,D,Niobrara,Gary Trauner,Warren 1-2,3,
U.S. House,1,D,Niobrara,Gary Trauner,,336,
U.S. House,1,L,Niobrara,Thomas R. Rankin,Hat Creek 3-2,0,
U.S. House,1,L,Niobrara,Thomas R. Rankin,Lance Creek 4-1,0,
U.S. House,1,L,Niobrara,Thomas R. Rankin,North Lusk 6-1,10,
U.S. House,1,L,Niobrara,Thomas R. Rankin,South Lusk 6-2,17,
U.S. House,1,L,Niobrara,Thomas R. Rankin,Manville 7-1,4,
U.S. House,1,L,Niobrara,Thomas R. Rankin,Warren 1-2,1,
U.S. House,1,L,Niobrara,Thomas R. Rankin,,32,
U.S. House,1,R,Niobrara,Barbara Cubin,Hat Creek 3-2,56,
U.S. House,1,R,Niobrara,Barbara Cubin,Lance Creek 4-1,67,
U.S. House,1,R,Niobrara,Barbara Cubin,North Lusk 6-1,182,
U.S. House,1,R,Niobrara,Barbara Cubin,South Lusk 6-2,233,
U.S. House,1,R,Niobrara,Barbara Cubin,Manville 7-1,98,
U.S. House,1,R,Niobrara,Barbara Cubin,Warren 1-2,49,
U.S. House,1,R,Niobrara,Barbara Cubin,,685,
Governor,,D,Niobrara,Dave Freudenthal,Hat Creek 3-2,23,
Governor,,D,Niobrara,Dave Freudenthal,Lance Creek 4-1,19,
Governor,,D,Niobrara,Dave Freudenthal,North Lusk 6-1,178,
Governor,,D,Niobrara,Dave Freudenthal,South Lusk 6-2,307,
Governor,,D,Niobrara,Dave Freudenthal,Manville 7-1,54,
Governor,,D,Niobrara,Dave Freudenthal,Warren 1-2,15,
Governor,,D,Niobrara,Dave Freudenthal,,596,TRUE
Governor,,R,Niobrara,Ray Hunkins,Hat Creek 3-2,43,
Governor,,R,Niobrara,Ray Hunkins,Lance Creek 4-1,54,
Governor,,R,Niobrara,Ray Hunkins,North Lusk 6-1,116,
Governor,,R,Niobrara,Ray Hunkins,South Lusk 6-2,139,
Governor,,R,Niobrara,Ray Hunkins,Manville 7-1,69,
Governor,,R,Niobrara,Ray Hunkins,Warren 1-2,37,
Governor,,R,Niobrara,Ray Hunkins,,458,
Secretary of State,,L,Niobrara,Dennis Brossman,Hat Creek 3-2,3,
Secretary of State,,L,Niobrara,Dennis Brossman,Lance Creek 4-1,5,
Secretary of State,,L,Niobrara,Dennis Brossman,North Lusk 6-1,29,
Secretary of State,,L,Niobrara,Dennis Brossman,South Lusk 6-2,42,
Secretary of State,,L,Niobrara,Dennis Brossman,Manville 7-1,6,
Secretary of State,,L,Niobrara,Dennis Brossman,Warren 1-2,1,
Secretary of State,,L,Niobrara,Dennis Brossman,,86,
Secretary of State,,R,Niobrara,Max Maxfield,Hat Creek 3-2,61,
Secretary of State,,R,Niobrara,Max Maxfield,Lance Creek 4-1,61,
Secretary of State,,R,Niobrara,Max Maxfield,North Lusk 6-1,257,
Secretary of State,,R,Niobrara,Max Maxfield,South Lusk 6-2,386,
Secretary of State,,R,Niobrara,Max Maxfield,Manville 7-1,109,
Secretary of State,,R,Niobrara,Max Maxfield,Warren 1-2,53,
Secretary of State,,R,Niobrara,Max Maxfield,,927,TRUE
State Auditor,,D,Niobrara,Bill Eikenberry,Hat Creek 3-2,6,
State Auditor,,D,Niobrara,Bill Eikenberry,Lance Creek 4-1,12,
State Auditor,,D,Niobrara,Bill Eikenberry,North Lusk 6-1,108,
State Auditor,,D,Niobrara,Bill Eikenberry,South Lusk 6-2,151,
State Auditor,,D,Niobrara,Bill Eikenberry,Manville 7-1,18,
State Auditor,,D,Niobrara,Bill Eikenberry,Warren 1-2,1,
State Auditor,,D,Niobrara,Bill Eikenberry,,296,
State Auditor,,R,Niobrara,Rita Meyer,Hat Creek 3-2,59,
State Auditor,,R,Niobrara,Rita Meyer,Lance Creek 4-1,61,
State Auditor,,R,Niobrara,Rita Meyer,North Lusk 6-1,187,
State Auditor,,R,Niobrara,Rita Meyer,South Lusk 6-2,292,
State Auditor,,R,Niobrara,Rita Meyer,Manville 7-1,105,
State Auditor,,R,Niobrara,Rita Meyer,Warren 1-2,52,
State Auditor,,R,Niobrara,Rita Meyer,,756,TRUE
State Treasurer,,D,Niobrara,Ron Redo,Hat Creek 3-2,1,
State Treasurer,,D,Niobrara,Ron Redo,Lance Creek 4-1,3,
State Treasurer,,D,Niobrara,Ron Redo,North Lusk 6-1,33,
State Treasurer,,D,Niobrara,Ron Redo,South Lusk 6-2,67,
State Treasurer,,D,Niobrara,Ron Redo,Manville 7-1,8,
State Treasurer,,D,Niobrara,Ron Redo,Warren 1-2,0,
State Treasurer,,D,Niobrara,Ron Redo,,112,
State Treasurer,,R,Niobrara,Joe Meyer,Hat Creek 3-2,64,
State Treasurer,,R,Niobrara,Joe Meyer,Lance Creek 4-1,65,
State Treasurer,,R,Niobrara,Joe Meyer,North Lusk 6-1,257,
State Treasurer,,R,Niobrara,Joe Meyer,South Lusk 6-2,367,
State Treasurer,,R,Niobrara,Joe Meyer,Manville 7-1,114,
State Treasurer,,R,Niobrara,Joe Meyer,Warren 1-2,54,
State Treasurer,,R,Niobrara,Joe Meyer,,921,TRUE
Superintendent of Public Instruction,,D,Niobrara,Michelle L. Hoffman,Hat Creek 3-2,10,
Superintendent of Public Instruction,,D,Niobrara,Michelle L. Hoffman,Lance Creek 4-1,9,
Superintendent of Public Instruction,,D,Niobrara,Michelle L. Hoffman,North Lusk 6-1,75,
