office,district,party,county,candidate,precinct,votes,winner
U.S. Senate,,D,Converse,Dale Groutage,Lost Springs 1-1,6,
U.S. Senate,,D,Converse,Dale Groutage,Guthrie 3-1,18,
U.S. Senate,,D,Converse,Dale Groutage,Rural Douglas 4-4,67,
U.S. Senate,,D,Converse,Dale Groutage,Boxelder 6-6,35,
U.S. Senate,,D,Converse,Dale Groutage,La Prele 7-7,27,
U.S. Senate,,D,Converse,Dale Groutage,East Antelope 8-8,51,
U.S. Senate,,D,Converse,Dale Groutage,East Glenrock 9-1,116,
U.S. Senate,,D,Converse,Dale Groutage,Orin 2-2,57,
U.S. Senate,,D,Converse,Dale Groutage,Rural Glenrock 10-10,63,
U.S. Senate,,D,Converse,Dale Groutage,Rolling Hills 11-11,45,
U.S. Senate,,D,Converse,Dale Groutage,Orpha 20-20,14,
U.S. Senate,,D,Converse,Dale Groutage,Northeast Douglas 23-1,65,
U.S. Senate,,D,Converse,Dale Groutage,Northwest Douglas 23-2,71,
U.S. Senate,,D,Converse,Dale Groutage,Southwest Douglas 23-3,72,
U.S. Senate,,D,Converse,Dale Groutage,South Douglas 23-5,88,
U.S. Senate,,D,Converse,Dale Groutage,Fairview 23-6,118,
U.S. Senate,,D,Converse,Dale Groutage,West Glenrock 9-2,112,
U.S. Senate,,D,Converse,Dale Groutage,Dry Creek 13-13,3,
U.S. Senate,,D,Converse,Dale Groutage,Converse County Courthouse 23-4,65,
U.S. Senate,,D,Converse,Dale Groutage,,1093,
U.S. Senate,,R,Converse,Craig Thomas,Lost Springs 1-1,72,
U.S. Senate,,R,Converse,Craig Thomas,Guthrie 3-1,108,
U.S. Senate,,R,Converse,Craig Thomas,Rural Douglas 4-4,259,
U.S. Senate,,R,Converse,Craig Thomas,Boxelder 6-6,211,
U.S. Senate,,R,Converse,Craig Thomas,La Prele 7-7,139,
U.S. Senate,,R,Converse,Craig Thomas,East Antelope 8-8,201,
U.S. Senate,,R,Converse,Craig Thomas,East Glenrock 9-1,439,
U.S. Senate,,R,Converse,Craig Thomas,Orin 2-2,247,
U.S. Senate,,R,Converse,Craig Thomas,Rural Glenrock 10-10,188,
U.S. Senate,,R,Converse,Craig Thomas,Rolling Hills 11-11,154,
U.S. Senate,,R,Converse,Craig Thomas,Orpha 20-20,84,
U.S. Senate,,R,Converse,Craig Thomas,Northeast Douglas 23-1,169,
U.S. Senate,,R,Converse,Craig Thomas,Northwest Douglas 23-2,261,
U.S. Senate,,R,Converse,Craig Thomas,Southwest Douglas 23-3,215,
U.S. Senate,,R,Converse,Craig Thomas,South Douglas 23-5,255,
U.S. Senate,,R,Converse,Craig Thomas,Fairview 23-6,412,
U.S. Senate,,R,Converse,Craig Thomas,West Glenrock 9-2,321,
U.S. Senate,,R,Converse,Craig Thomas,Dry Creek 13-13,78,
U.S. Senate,,R,Converse,Craig Thomas,Converse County Courthouse 23-4,141,
U.S. Senate,,R,Converse,Craig Thomas,,3954,TRUE
